N,r,M,a0,a1,b0,b1,a0_cf,a1_cf,b0_cf,b1_cf,ll,ll_cf,iters,iters_cf
500,70,19,0.004827376165978132,0.012159587951112476,0.6509775642578544,0.8856907377127249,0.0047095747945408144,0.01273486160462313,0.643427652224787,0.8947229377038869,-770.7575858227231,-770.7492654319699,20,19
500,71,56,7.62846688136306e-05,0.026576117008259063,0.7870817116227058,0.9110842104935615,7.819566977459847e-05,0.026578021837842938,0.7871862416998026,0.9110881867324088,-770.5814116069807,-770.581833301391,29,29
500,72,51,0.00018283495520598437,0.02420169700861723,0.9412628022186424,0.8872992911329249,0.00023916812786395645,0.024204776705318343,0.9400600833636102,0.8882791369048565,-727.4386546435138,-727.4435057087852,101,102
500,73,30,7.117454002851673e-05,0.023412162066583718,0.8693240584148547,0.8206799680507674,7.402296181692736e-05,0.023422249936817647,0.8694712652606232,0.820756937615949,-760.0459732963348,-760.0464483928166,14,14
500,74,71,0.0001387083083176589,0.059439572376370715,0.7535192431635422,0.9199567294316693,0.00014121208093969854,0.05980718383427497,0.7511856685035208,0.9213226372654048,-757.2913108036221,-757.2901530195975,28,28
500,75,31,0.009233382412977135,0.015741643066719522,0.6391064470688232,0.8662145191664254,0.009359595685942685,0.01574105698646506,0.6416696759482315,0.8662109682048729,-781.1199028926796,-781.1219584315497,10,10
500,76,59,0.0014811004826208436,0.026644260485561143,0.9995793365396265,0.8140800599587014,0.00015996063062253128,0.02587449876140864,0.9779729091851249,0.8259106936140446,-730.3367275697653,-731.4596592746473,20,13
500,77,30,0.00956134971515383,0.015075243818071024,0.779693892784404,0.8142626808058694,0.009490649546202668,0.01541205958338074,0.778612478667725,0.8188291585854672,-775.1597162362322,-775.1606126327479,11,9
500,78,62,0.018701992722837218,0.01752299538223985,0.7821591118884016,0.911341746570517,0.01892468350598372,0.01781051215352027,0.7842372641847523,0.9128069058365106,-725.9072307805262,-725.9091716909019,38,39
500,79,19,0.010313867500282495,0.0035335933952792137,0.7674805827527242,0.9086317388784114,0.010279341147236562,0.0038852347101275653,0.7667373052116481,0.9185474583445632,-759.497746816884,-759.4823583101146,19,18
500,80,46,0.005953002483833927,0.020826465996573774,0.727278847272002,0.858906770678115,0.006073713700014721,0.020870963623454968,0.7310163080683116,0.8591632563701329,-761.2830494573775,-761.2856714914461,12,13
500,81,115,0.0156976086127884,0.06195299659542129,0.6867409233360509,0.9245451712708225,0.014562710086027456,0.05972158512604351,0.6656971149125578,0.921001418002782,-719.0849775682689,-719.0971457603843,36,26
500,82,46,0.0035678371736141043,0.032665720447849565,0.7916924201642254,0.8603924693026167,0.003583326250319197,0.03331903180672825,0.7895583698810567,0.8636244175887458,-763.9193794970184,-763.9205972614017,16,15
500,83,51,0.010681836148982793,0.033182430090518585,0.6824119689511166,0.8062461773740505,0.01046262547054035,0.033836256438421725,0.6759447070638281,0.8099051940243934,-758.0663589286336,-758.0642527530499,29,28
500,84,43,0.001651549106643154,0.03660767874186122,0.8961819713473812,0.8034945944722557,0.0020909599726924026,0.036197792315556115,0.9081006963624252,0.8012307304821826,-753.4752100461174,-753.4702809229599,36,22
500,85,64,0.014451722622208577,0.037205898263279163,0.6715526402139682,0.9282559297445886,0.014277185613263051,0.03883737215667088,0.6669381110296762,0.9362540115728316,-745.098698675125,-745.1060931307172,18,11
500,86,58,0.00010726229022088089,0.02638842435468189,0.9201237991122603,0.8583921004841787,0.00010699519113951015,0.02697987354538191,0.9172297210797405,0.8633345799570421,-729.9241428031071,-729.9311956314817,21,23
500,87,52,0.011104293005553531,0.01488798482423134,0.8370505800438788,0.9096144044600301,0.011503451053037218,0.014843395967487934,0.8408037916100426,0.9093349956343382,-734.0830448682208,-734.0858085677584,7,13
500,88,72,0.0026918508030653087,0.03901269799088253,0.817133616929454,0.8643043894652654,0.0022656143014705486,0.040063744043531795,0.8086562779817592,0.868632127419854,-764.0036250973596,-764.0013372892158,52,51
