model,scenario,N,r,M,bursts,LR,ll0,ll1,it0,it1,tr0_maxgap,tr1_max,tr1_argmax,tr1_first,LL0_th1,P0,P1,L1step0,nev0,nev1,th0_mu0,th1_mu0,th0_mu1,th1_mu1,th0_s0,th1_s0,th0_s1,th1_s1,th0_A00,th1_A00,th0_A11,th1_A11,alt_onset0,alt_onset1,alt_persistence0,alt_persistence1,seconds
hmc_dn,markov-null,500,25,84,7,2.611914127824548,-527.7003083458211,-526.3943512819088,59,48,0.35461442761163653,1.305957063912274,47,1.1368683772161603e-13,-527.4153857669182,-526.825554947722,-526.3767284019707,-527.2134463219877,53,40,-0.3890299555775843,-0.45864765184293255,1.5128722335108156,1.484340575933636,1.1654934207373358,1.1302974273851765,0.6701074025883584,0.676510180504571,0.9338139711748283,0.9325861945528858,0.7969305035193387,0.8198045403415961,0.02322629169736945,0.0004569088021032327,0.9121058654979888,0.9302487899786528,11.39850115776062
hmc_dn,markov-null,500,26,66,11,7.235955563443667,-590.0372984607021,-586.4193206789803,44,44,0.11729596487776917,3.6179777817218337,43,5.684341886080801e-13,-590.1988202415222,-586.5362126365402,-586.4146398501758,-587.4671119489775,27,19,-0.8340802911986415,-0.8534890239989454,1.2509351868075613,1.2565011300781166,1.0268446156328175,1.0094038490578825,0.8299060550420025,0.8207424291004269,0.8986460954181016,0.8967733261274314,0.8767798689274364,0.8841041761891657,0.002008094112779225,0.0550401780158783,0.8844146854118002,0.8077096587879884,9.211443901062012
hmc_dn,markov-null,500,27,53,11,4.452802374091107,-598.1748501982117,-595.9484490111662,56,41,0.0,2.2264011870455533,40,-1.1368683772161603e-13,-598.0163324332284,-596.2028327219402,-595.6648884301086,-597.239986391915,55,52,-1.0297240914962096,-0.9463075927192052,0.8191841370453492,0.9384649529432323,0.9614483524928367,0.9758058273233347,1.1355927132501134,1.1130174824980312,0.8804966366744057,0.8907676800908406,0.8923300646875931,0.8920849495061787,0.010459244121022985,0.040439853205418465,0.4770832358949642,0.8648375894120074,11.42833161354065
hmc_dn,markov-null,500,28,45,8,0.17320434409612062,-631.0312102177019,-630.9446080456538,50,35,0.0,0.08660217204806031,34,5.684341886080801e-13,-631.0186644502023,-630.9572733983483,-630.9436908338934,-630.9869764235102,14,46,-0.8417952783412455,-0.8417792934270876,1.1233913498103087,1.128919714232484,1.1309963876735423,1.13007218144422,1.0953743712907742,1.0919662208656589,0.8911604384973437,0.8922438670122568,0.8160173108435558,0.8159982157255801,0.01572152998965815,0.02038334406913709,0.8418328905332708,0.7885258996353098,9.174518823623657
hmc_dn,markov-null,500,29,39,9,2.1007217882756777,-577.7664930149292,-576.7161321207914,71,109,0.07514828519776984,1.0503608941378388,108,1.1368683772161603e-13,-578.0302890743945,-576.1794714656206,-576.0254832399497,-577.6834264812268,36,38,0.08590509662078272,0.10171960116210055,0.22531335626319676,0.18036178720192306,1.3662338384119639,1.3753394056112456,0.8735544483067718,0.8388286618411172,0.914852221385429,0.9104152738057316,0.7591500731273736,0.7889586085946129,0.012073014107215133,0.039473522785220344,0.4597212416783939,0.9620803603811858,15.307843923568726
hmc_dn,markov-null,500,30,57,13,3.4467204627571846,-578.5880974350673,-576.8647372036887,60,36,0.0,1.7652285408644275,5,3.410605131648481e-13,-578.844496812203,-576.8598674344831,-576.8635027303828,-576.9415750548966,11,11,-0.8954486314351952,-1.0284537828315303,1.2626674921524845,1.2128153012225196,1.1498552716948967,1.0782440947078042,0.8383960519082674,0.843965632886799,0.9457090546675232,0.9426445682419038,0.9339888799713121,0.9409249839825354,0.04340670385017067,0.014376480615234147,0.704198742742344,0.8314760710915216,8.634889841079712
hmc_dn,markov-null,500,31,19,6,0.3160141279765867,-563.1708830135892,-563.0128759496009,38,22,0.3293377619772855,0.15893480228442058,4,5.684341886080801e-13,-563.1712150525649,-563.0249690433869,-563.0099407542489,-563.0514224829813,11,10,-1.1496330489991915,-1.1580919283465216,0.6372567251518837,0.6404967777396792,1.057805373084675,1.0484301356052943,0.821790988591741,0.8211390340829815,0.9218562641689614,0.9218905115825878,0.9350870532039417,0.9353566456737826,0.014755836982551403,0.010416107785725546,0.6596559568575087,0.762199007063978,5.407588243484497
hmc_dn,markov-null,500,32,17,5,0.4168131079018167,-567.5960335182915,-567.3876269643406,66,344,0.0,0.20840655395090835,343,-2.2737367544323206e-13,-567.509204173309,-567.5221967525194,-567.3838238635066,-567.5718915195017,14,13,-0.9359718397004996,-0.9874032150025429,0.7607601420223024,0.6657548733376136,0.9990080692680566,0.9944734890996314,1.0237720936169812,1.060754892464648,0.9289623425532378,0.922664251348044,0.9247971840880261,0.9299210905165288,0.0153284760094512,0.005908681200256309,0.7352336036337768,0.6458237261321039,19.056716918945312
hmc_dn,markov-null,500,33,29,7,3.0711233472318327,-598.6027217143325,-597.0671600407165,56,19,0.0,1.5355616736159163,18,-5.684341886080801e-13,-598.6325622431506,-596.8372301254982,-596.8072623866507,-597.6969954669322,65,39,-0.4630838303546325,-0.4753028925590525,1.644103346461769,1.6375847329057593,1.1351568954842317,1.127796092229901,0.563878756451319,0.568276081351171,0.9510222081519456,0.9521567093484459,0.8296030813981036,0.834060577858863,0.019180855684684087,0.0002093136843883425,0.782969656039505,0.503733353744271,9.122827053070068
hmc_dn,markov-null,500,34,31,5,4.1842660518873345,-525.7420270258863,-523.6498939999426,128,102,0.04219371876297373,2.0921330259436672,101,1.1368683772161603e-13,-525.6993282079357,-523.8081785218907,-523.6310460480141,-524.1301553178823,51,46,-1.1715831040809412,-1.095356867954816,0.5087921857889943,0.5839670494325736,0.7431924098062203,0.7749508606011454,0.9311199003626912,0.9014351538687074,0.9095627180471109,0.9198285005547809,0.9495716626871784,0.9470360747588528,7.77689638579063e-05,0.017941496765267864,0.7877029865771504,0.8421846161214467,14.297902822494507
hmc_dn,markov-null,500,35,56,8,6.496332104790099,-578.552271117237,-575.3041050648419,70,84,0.5422812962023045,3.2481660523950495,83,6.821210263296962e-13,-578.0535787979454,-576.0712808645537,-575.2813952249659,-576.6317850857531,46,52,-0.48223871408872837,-0.5864693406637307,1.5660605323581778,1.4503794043882792,1.0380870119557428,0.9906931930181025,0.8192555614143516,0.8467595797527807,0.945279858910843,0.9390629433260143,0.864001718597193,0.8751094352344968,0.027384289120817563,0.00015409272290769642,0.8760223661100772,0.7893114163181997,10.348800897598267
hmc_dn,markov-null,500,36,47,6,2.7549989985723187,-574.0946355446433,-572.7171360453572,218,116,0.0,1.6626152144327762,12,-1.1368683772161603e-13,-574.7006683738562,-572.3398245703776,-572.685910117666,-573.1564756412992,62,46,-1.6425846168444072,-1.428482508751256,0.536631979994969,0.8659537550173199,0.7968717025266825,0.9020466374059933,1.2010419789474083,0.9884796629501514,0.8499633574323322,0.8968449364218377,0.9397853468175935,0.9268027922875925,0.00019801991170640762,0.02256018130204899,0.949021904500347,0.8310549293158371,15.234703063964844
