model,scenario,N,r,M,LR,ll0,ll1,ll_best,n_th0,n_th1,n_true,a_th1,a_thb,a_n*,L0_mle,L1_mle,LR_mle,null_best,alt_best,mle_a0,mle_a1,mle_b0,mle_b1,mle1_mu0,mle1_mu1,mle0_mu0,mle0_mu1,seconds
hmc_dn,markov-null,500,20,45,0.4895269628350434,-608.5217268153973,-608.2769633339798,-608.2769633339798,-608.3663643229881,-608.366364321348,-608.3663643215493,-608.1247012358275,-608.1247012358275,-608.1247012342624,-608.366364321348,-608.1247012342624,0.4833261741712249,th1,n*,0.022588211389932483,0.020559479513624582,0.8447214177607416,0.6985743552031842,-1.028551821650785,0.9364613182073732,-1.0376156965424748,0.9518244518084228,66.18053722381592
hmc_dn,markov-null,500,21,40,0.3632188245474026,-559.9046890450097,-559.723079632736,-559.723079632736,-559.8182445276295,-559.818244527535,-559.8182445275006,-559.6331857233323,-559.6331857233323,-559.6331857247201,-559.8182445275006,-559.6331857233323,0.37011760833661356,true,th1,0.013757448279241342,0.010886815020875828,0.8759416205326659,0.7571145291269825,-0.8039563852227131,1.2238331032591943,-0.8085185745915578,1.1991753039609196,75.86443209648132
hmc_dn,markov-null,500,22,35,2.4656428098403467,-596.1554157659721,-594.9225943610519,-594.9225943610519,-596.0725751397867,-596.0725751398105,-596.0725751397896,-594.808735161351,-594.808735161351,-594.8087351611804,-596.0725751397867,-594.8087351611804,2.52767995721274,th0,n*,0.029876805433620687,0.016054836923105345,0.9154499238118511,0.6346274911329809,-1.4093619246446862,0.33804344108523443,-1.3916513322778001,0.33464686838750396,73.94134402275085
hmc_dn,markov-null,500,23,68,6.119150612813883,-564.3887391607151,-561.3291638543081,-561.3259062610445,-564.230472731912,-564.5118102288756,-564.2304727314622,-560.5046616166533,-560.5046616274299,-560.5986969521373,-564.2304727314622,-560.5046616166533,7.451622229617897,true,th1,0.04083506042292885,4.6151419723427244e-20,0.7309274408312846,0.9999999618741474,-0.24999712516466022,0.30872171648483454,-0.809431460697376,0.9841562765094902,103.98519015312195
hmc_dn,markov-null,500,24,53,2.749560115324357,-563.7525333072349,-562.3777532495727,-562.3777532495727,-563.3450532704012,-563.3450532703407,-562.5329668359882,-561.8174287587518,-561.8174287587518,-561.698501638149,-562.5329668359882,-561.698501638149,1.6689303956784443,true,n*,5.510120255561369e-09,0.028458156991066824,0.7949373520253986,0.8139955836404914,-0.8800121507517109,0.6997210981317573,-0.8645820032644641,0.6957396312037369,120.03736591339111
hmc_dn,markov-null,500,25,84,2.611914127824548,-527.7003083458211,-526.3943512819088,-526.3943512819088,-526.9110629161198,-526.911062914641,-526.9110629157489,-524.4816070561395,-524.4816070561395,-524.4816071555297,-526.911062914641,-524.4816070561395,4.858911717002911,th1,th1,0.03784437251058408,4.710962899020146e-10,0.8968449372406447,0.9412721443407631,-0.9944809617509571,1.003234883400004,-0.6318376630902381,1.3382733982861783,125.74060797691345
hmc_dn,markov-null,500,26,66,7.235955563443667,-590.0372984607021,-586.4193206789803,-586.4193206789803,-589.703392461003,-589.7033924619323,-585.4018349283804,-585.9266696552972,-585.9266696552972,-583.7184301715314,-585.4018349283804,-583.7184301715314,3.3668095136979446,true,n*,0.007977855862501491,0.0621923202775277,0.8684540101827468,0.7965935516137024,-0.5396527295200746,1.4079699816758773,-0.20243539789377504,1.4622202769946597,128.22216701507568
hmc_dn,markov-null,500,27,53,4.452802374091107,-598.1748501982117,-595.9484490111662,-595.9484490111662,-597.9081707263462,-597.908170726846,-597.9081707268957,-595.5411118345536,-595.5411118345536,-594.3674226038859,-597.9081707263462,-594.3674226038859,7.081496244920572,th0,n*,2.253076966965184e-10,0.06153913361874756,0.9325470021727195,0.621653252169398,-0.533486216520408,0.5761104243903272,-0.9222071802333066,0.9439421675935787,97.71148991584778
hmc_dn,markov-null,500,28,45,0.17320434409612062,-631.0312102177019,-630.9446080456538,-630.9446080456538,-630.8751397732207,-630.875139773413,-630.8751397724453,-630.7946890496445,-630.7946890496445,-630.7946890496571,-630.8751397724453,-630.7946890496445,0.16090144560166664,true,th1,0.016169488376762367,0.019544172101498097,0.8490129497792074,0.7764910156825181,-0.8726001237509275,1.1862022873819766,-0.8594505639250078,1.1960949849238265,49.249171018600464
hmc_dn,markov-null,500,29,39,2.1007217882756777,-577.7664930149292,-576.7161321207914,-576.7161321207914,-576.0741536401474,-576.074153639584,-576.0741536399648,-573.4714219455991,-573.4714219455991,-573.4714219648097,-576.074153639584,-573.4714219455991,5.205463387969758,th1,th1,0.005713361338979878,0.06675238828478139,2.2770382758542002e-11,0.9999999900775137,-0.007943304945909276,0.810523089185441,0.0019867256008832294,0.7524159017188983,67.72461009025574
hmc_dn,markov-null,500,78,58,16.63036007123651,-610.643776462837,-602.3285964272187,-602.3285964272187,-609.2429237589886,-609.2429237592107,-609.2429237590991,-602.2271450177751,-602.2271450177751,-602.2271450177091,-609.2429237589886,-602.2271450177091,14.031557482559037,th0,n*,0.0041485802061031665,0.08350615665831702,0.864522164993219,0.7398846312032719,-0.5321865437230867,1.3375643007877642,-0.5222092603188162,1.3277227583943427,133.12168169021606
hmc_dn,markov-null,500,89,55,-1.2687669913023,-583.8516037071709,-584.485987202822,-583.076307553888,-582.4544828603655,-580.0612922670089,-582.4544828602561,-581.5403873805335,-581.5403875973961,-579.9288609041773,-580.0612922670089,-579.9288609041773,0.2648627256630789,th1,n*,0.021812771544358397,4.36336866361376e-08,0.9004668110306638,0.7000298772103845,0.22039364661281494,-0.2806682583957055,0.21467798450838055,-0.2752845926389212,246.2915542125702
hmc_dn,markov-null,500,111,38,-1.4201295688733353,-603.4665188333595,-604.1765836177962,-601.179125362576,-603.3367634944847,-603.9740833903331,-603.3367634939023,-601.8968010238951,-600.9714510932902,-600.9714510884438,-603.3367634939023,-600.9714510884438,4.730624810916879,true,n*,8.09014999706527e-10,0.03824270958162353,0.20983705967603686,0.8143332954256681,-0.9322766572599396,1.0061084155608697,-0.9518820712021364,1.0686089268890362,210.49464297294617
hmc_dn,markov-null,500,143,36,-0.7480802018171744,-607.9430091962379,-608.3170492971465,-607.8615612644782,-606.8645276853114,-606.8645276854216,-610.100220087554,-606.7153613071016,-606.7153613069551,-606.7153613068056,-606.8645276853114,-606.7153613068056,0.29833275701162165,th0,n*,0.029542926236895476,0.010820140277465888,0.717943088152118,0.8126465617889551,-0.3195472629231655,0.3455745470833501,-0.29193867436031523,0.3342150656150848,140.83776783943176
hmc_dn,markov-null,500,197,45,11.852095104081627,-553.9654743306145,-548.0394267785737,-548.0394267785737,-553.3451454673035,-553.3451454681332,-553.345145467879,-547.7182511557652,-547.7182511557652,-547.7182511086271,-553.3451454673035,-547.7182511086271,11.25378871735279,th0,n*,0.08708317153042487,5.902851421723259e-10,0.7844293874326348,0.804381815386741,-1.2312679019898023,0.5237080286842314,-1.2250461605852936,0.5321316067167694,192.36304473876953
hmc_dn,markov-null,500,198,35,11.085085931764752,-573.3973880197152,-567.8548450538328,-567.8548450538328,-573.320603278349,-573.3206032786483,-573.3206032782673,-567.5737976908497,-567.5737976908497,-567.5737976928107,-573.3206032782673,-567.5737976908497,11.493611174835223,true,th1,0.010570401991010068,0.04318861659234513,0.16133334117185263,0.9525712311359223,-0.774691016277373,1.5391841517268832,-0.8326320160564435,1.481026764194306,105.64663505554199
