case,N,r,M,rates0_c0,rates1_c0,rates0_c0.1,rates1_c0.1,rates0_c1,rates1_c1,rates0_c10,rates1_c10,onset0_c0,onset1_c0,persistence0_c0,persistence1_c0,onset0_c0.1,onset1_c0.1,persistence0_c0.1,persistence1_c0.1,onset0_c1,onset1_c1,persistence0_c1,persistence1_c1,onset0_c10,onset1_c10,persistence0_c10,persistence1_c10
"state-(0.02,0.3)",500,67,95,0.031872041400277405,0.29268765433946764,0.0319665485395479,0.2926425898522515,0.03324529527472751,0.29219070286884474,0.04419647884734315,0.2881122189276222,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,68,88,0.03909358721660704,0.3337916458991658,0.039167133476428,0.3337102334466877,0.03987374886464308,0.33296489234709414,0.04653453369630586,0.3258459734906969,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,69,74,0.013671190674755643,0.29474534289854576,0.01374583489882553,0.29466829811630724,0.014439002549128393,0.2939966044076309,0.020672731219961254,0.2876867831093857,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,70,71,0.013151086107580454,0.2788116213900805,0.013229460933714491,0.27874216086687437,0.013926574681619588,0.27812002115242507,0.020356333114132787,0.2721663575785203,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,71,82,0.013414785721263676,0.276029295186022,0.01350723157359801,0.27597914510598875,0.014542784775272214,0.2755058955431731,0.023345533492206198,0.2711440387197156,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,72,55,0.014344616562766222,0.3222446475366419,0.014331768434141462,0.3220857619912216,0.014716476979426891,0.32069467715348793,0.018288323096923284,0.30772079234981453,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,73,93,0.015382430605360419,0.3277221333905827,0.015480420193590402,0.32765877630583556,0.01636196659787708,0.3270907441308485,0.02446424396482218,0.32175050073554273,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,74,72,0.018798218747337173,0.276605269807787,0.0188758448336152,0.2765359077970085,0.019563796810091807,0.2759174343643231,0.02572806347028645,0.270151885564145,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,75,91,0.014121588828596104,0.322669771949407,0.014367487565272,0.3225656567952108,0.015772301125917217,0.32181890464963936,0.027268933598719274,0.3151703204151398,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,76,91,0.00883518473419311,0.2963785970635996,0.009092203918286213,0.2962838238270815,0.011393640427353953,0.2954292737942021,0.02664793196044375,0.28926002101027704,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,77,89,0.012849734034978787,0.28310702314326247,0.01296134317377501,0.28307044630400746,0.013948516781426421,0.2827409768569058,0.0227066673443927,0.2795058565058778,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,78,76,0.008706673765575577,0.2847421782325006,0.008786982240456823,0.28467796740782125,0.009524875152989838,0.28408300050410484,0.016152765287956238,0.27864098933228737,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,79,77,0.030663066164568736,0.32139409649963435,0.030723412864966097,0.32130250793185466,0.031259810673316804,0.3204833270048188,0.03630605218299044,0.31272535579750477,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,80,78,0.033435035303448296,0.27911609651023,0.033502667491411314,0.27905460252534625,0.034165873637267315,0.2784413366387431,0.04024637681617401,0.2727147165355024,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,81,77,0.014526094464237702,0.28660760012933734,0.014650155816180408,0.2865222543064197,0.01590108859407562,0.2856892141541074,0.024403022545645497,0.27929823203959053,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,82,79,0.01490253585098881,0.2837166878284827,0.014979018761286904,0.283663176727931,0.015683810644661865,0.2831515725620612,0.022214252975263655,0.2783266858475459,,,,,,,,,,,,,,,,
