kind,N,r,M,pi0_c0,iters_c0,reach_c0,ll_c0,pi0_c1,iters_c1,reach_c1,ll_c1,pi0_common,ll_common,pi0_first,pi1_first,pi0,pi1,common,iters
common-markov-states,2000,24,342,,,,,,,,,,,0.0602445209672095,0.2749930747216103,0.018409031441940275,0.30165340407572866,0.171,12
common-markov-states,2000,25,296,,,,,,,,,,,0.05592546974663349,0.2588851134198659,0.015619364354968919,0.29048408174287266,0.148,14
common-markov-states,2000,26,329,,,,,,,,,,,0.05406098094217665,0.27695568990327396,0.017418781904774996,0.2995207227267409,0.1645,11
common-markov-states,2000,27,299,,,,,,,,,,,0.04208295366653477,0.2670403545177936,0.014574497678090718,0.2890505658021984,0.1495,13
common-markov-states,2000,28,327,,,,,,,,,,,0.05802111692881251,0.2631574422598199,0.023553873253281437,0.2876336511444327,0.1635,12
common-markov-states,2000,29,354,,,,,,,,,,,0.06350278096946942,0.29859240917200575,0.023414874385693778,0.3263953421858252,0.177,11
common-markov-states,2000,30,317,,,,,,,,,,,0.04823909172181217,0.27221870566723605,0.015004833334801758,0.29363730813980676,0.1585,9
common-markov-states,2000,31,287,,,,,,,,,,,0.06057226523204748,0.2590066031154472,0.029791682774625464,0.2878403683223975,0.1435,10
common-markov-states,2000,32,320,,,,,,,,,,,0.05591674615899894,0.2540774542800517,0.014763448519954418,0.2823043301442415,0.16,13
common-markov-states,2000,33,313,,,,,,,,,,,0.05521153770330351,0.2748310209726626,0.014727345312584534,0.30595863674313145,0.1565,15
common-markov-states,2000,34,310,,,,,,,,,,,0.055474886295682535,0.280867638487328,0.01783595598575498,0.3152697656211635,0.155,13
common-markov-states,2000,35,350,,,,,,,,,,,0.06032168101994395,0.2802989483210951,0.026867495088446724,0.3023479384379089,0.175,10
common-markov-states,2000,36,291,,,,,,,,,,,0.045313693841831336,0.2558982749809493,0.0195848946296537,0.2727915735719283,0.1455,8
common-markov-states,2000,37,301,,,,,,,,,,,0.0485573893897064,0.27701053573720225,0.01554161125791591,0.3132732064600752,0.1505,13
common-markov-states,2000,38,376,,,,,,,,,,,0.06096447572272114,0.30456038490708737,0.01857970753027007,0.3274708207550553,0.188,14
common-markov-states,2000,39,374,,,,,,,,,,,0.06592593026206582,0.28095696232671363,0.027808651440396553,0.30004816713569493,0.187,13
common-markov-states,2000,40,321,,,,,,,,,,,0.05705364688277051,0.2674114770363513,0.023150080364525604,0.29110684936802583,0.1605,10
