model,scenario,N,r,B,LR,p_asym,p_boot,B_valid,seconds
hmc_in,state-null,500,35,99,0.0020091724738904304,0.96424775958955,0.97,99,13.953749895095825
hmc_in,state-null,500,36,99,0.053399398093233685,0.817250245782581,0.9,99,15.93460202217102
hmc_in,state-null,500,37,99,0.03422978927096665,0.8532188833731339,0.84,99,15.710335969924927
hmc_in,state-null,500,38,99,6.174535531645915,0.012960193004967722,0.02,99,13.811507940292358
hmc_in,state-null,500,39,99,0.8001978752313335,0.3710342146697342,0.39,99,13.204336166381836
hmc_in,state-null,500,40,99,1.203021578025755,0.27271859751641975,0.33,99,17.228309869766235
hmc_in,state-null,500,41,99,0.1744518017790142,0.6761852817283716,0.7,99,16.26253628730774
hmc_in,state-null,500,42,99,0.4763838216235854,0.4900648788320109,0.54,99,14.092243909835815
hmc_in,state-null,500,43,99,0.07394212641384001,0.7856812139200361,0.78,99,14.467542171478271
hmc_in,state-null,500,44,99,0.0013396100359841512,0.9708033985065831,0.97,99,14.45147705078125
hmc_in,state-null,500,45,99,1.467202966795412,0.22578752154323764,0.25,99,13.0726797580719
hmc_in,state-null,500,46,99,0.3077395050593168,0.5790706392591503,0.57,99,14.14696216583252
hmc_in,state-null,500,47,99,0.3602224236267375,0.5483827330673027,0.51,99,15.864703893661499
hmc_in,state-null,500,48,99,0.22351333231426906,0.6363758763435464,0.62,99,13.788303136825562
hmc_in,state-null,500,49,99,4.665742426776887,0.030770117413034724,0.04,99,13.06839394569397
hmc_in,state-null,500,50,99,0.0023659174564727437,0.9612056363917785,0.97,99,13.888006925582886
hmc_in,state-null,500,51,99,0.20312947678462479,0.6522065926012321,0.64,99,14.32837986946106
hmc_in,state-null,500,52,99,0.9425021150912016,0.33163519134322916,0.32,99,14.474962949752808
hmc_in,state-null,500,53,99,5.441091303310031,0.019668377114549513,0.03,99,15.17004108428955
hmc_in,state-null,500,54,99,0.7473906943650945,0.38730361187853324,0.35,99,13.247722864151001
hmc_in,state-null,500,55,99,0.3693094650407147,0.5433809096262463,0.58,99,13.790244817733765
hmc_in,state-null,500,56,99,1.9770381018447551,0.15970278462010554,0.14,99,15.851704835891724
hmc_in,state-null,500,57,99,1.596562009534182,0.20639110536143826,0.23,99,15.003568887710571
hmc_in,state-null,500,58,99,0.8259849103626493,0.36343610944586213,0.38,99,13.628836154937744
hmc_in,state-null,500,59,99,0.008721466710085224,0.9255946932768198,0.85,99,15.475547790527344
hmc_in,state-null,500,60,99,0.5561949436685154,0.45579743321522637,0.51,99,15.072363138198853
hmc_in,state-null,500,61,99,1.034946977833897,0.3089995902568527,0.32,99,14.786420822143555
hmc_in,state-null,500,62,99,0.18874455587365446,0.6639635731170208,0.6,99,14.340260982513428
hmc_in,state-null,500,63,99,0.11638329121683455,0.7329906964490505,0.7,99,14.82641887664795
hmc_in,state-null,500,64,99,0.5034672601841521,0.47798058708049684,0.5,99,13.77667498588562
hmc_in,state-null,500,65,99,6.295911194474911,0.012101679193326203,0.01,99,15.657449007034302
hmc_in,state-null,500,66,99,0.01931402809896099,0.8894699684669473,0.88,99,15.19388723373413
hmc_in,state-null,500,67,99,0.008773949224178068,0.9253718094737404,0.92,99,14.608189821243286
hmc_in,state-null,500,68,99,0.42586629022775924,0.5140242991153952,0.49,99,14.540078163146973
hmc_in,state-null,500,69,99,0.35252558211868745,0.552686929403809,0.51,99,14.372437000274658
hmc_in,state-null,500,70,99,0.4871070024535129,0.4852206503442821,0.47,99,15.157359838485718
hmc_in,state-null,500,71,99,1.26974827607728,0.25981390844293123,0.25,99,15.666218996047974
hmc_in,state-null,500,72,99,0.7751480656993408,0.37862915357660265,0.5,99,15.422834873199463
hmc_in,state-null,500,73,99,0.007363661639374186,0.9316160416936996,0.94,99,16.050668954849243
hmc_in,state-null,500,74,99,2.8622830932959005,0.09067871057248118,0.1,99,13.794281005859375
hmc_in,state-null,500,75,99,0.1300303188036196,0.7184006054134956,0.81,99,18.67125105857849
hmc_in,state-null,500,76,99,0.23467375337122576,0.6280797589349256,0.67,99,14.13979196548462
hmc_in,state-null,500,77,99,0.11013123858765539,0.7399947720065578,0.76,99,18.66234803199768
hmc_in,state-null,500,78,99,5.313132727925222,0.02116526470072128,0.03,99,13.530924081802368
hmc_in,state-null,500,79,99,0.8452024427313063,0.35791309598113974,0.3,99,12.54529094696045
hmc_in,state-null,500,80,99,0.004677126647720797,0.9454755629522916,0.91,99,16.182262897491455
hmc_in,state-null,500,81,99,0.3749861202545617,0.5402988709813774,0.54,99,13.765902042388916
hmc_in,state-null,500,82,99,0.04846702658073809,0.8257525595430253,0.8,99,16.73776912689209
hmc_in,state-null,500,83,99,0.3658171115937421,0.5452931761347528,0.57,99,15.81637692451477
hmc_in,state-null,500,84,99,1.3196543444248618,0.2506540944690206,0.31,99,15.774255752563477
hmc_in,state-null,500,85,99,0.08191599017504814,0.774717517784909,0.82,99,13.485733985900879
hmc_in,state-null,500,86,99,0.24061024584011648,0.6237657101247642,0.67,99,13.598893165588379
