mote,method,family,K,sequential,alpha,correction,threshold,seconds,gap_nodes,log_lik,quad_error,quad_limit,quad_warnings,quad_error_max_warned,other_warnings,other_warning_kinds,n_obs,n_suspect,n_flag,recall,precision,recall_rise,flag_climb,n_climb,flag_ambig,n_ambig,flag_normal,n_normal,flag_post,precision_ext,recall_ext,fa_per_1000,fa_episodes,fa_episodes_per_day,lead_first_h,lead_24h_h,lead_episode_h
22,PMC seq α=0.001,PMC,3.0,True,0.001,none,0.001,328.63527604198316,64.0,62158.44410417767,,,0.0,,0.0,,34169,4816,5131,1.0,0.9386084583901774,1.0,193,623,9,1786,106,26937,7,0.9762229584876242,0.9209413495127781,3.9351078442291274,9,0.6469540500750647,351.83087657727924,17.7836303705894,2.091701604038397
22,PMC seq α=0.0001,PMC,3.0,True,0.0001,none,0.0001,214.27511887499713,64.0,61754.76759982143,,,0.0,,0.0,,34169,4816,4976,1.0,0.9678456591639871,1.0,149,623,4,1786,0,26937,7,0.9977893890675241,0.9128516271373415,0.0,0,0.0,17.291955491552486,17.291955491552486,1.4583576920586434
22,PMC nonseq α=0.01,PMC,3.0,False,0.01,none,0.01,25.607749508396957,64.0,-768489.8002639273,15071.84869901611,0.05,0.0,,0.0,,34169,4816,5325,1.0,0.9044131455399061,1.0,246,623,59,1786,197,26937,7,0.9506103286384977,0.930685787828645,7.313360804840925,59,4.241143217158757,351.8392100498053,23.76706364429286,2.5500425929711135
22,PMC nonseq α=0.001,PMC,3.0,False,0.001,none,0.001,25.607749508396957,64.0,-768489.8002639273,15071.84869901611,0.05,0.0,,0.0,,34169,4816,5029,1.0,0.9576456551998409,1.0,188,623,9,1786,9,26937,7,0.9950288327699344,0.9200220628792057,0.3341129301703976,9,0.6469540500750647,351.83087657727924,17.7836303705894,2.091701604038397
22,PMC nonseq α=0.0001,PMC,3.0,False,0.0001,none,0.0001,25.607749508396957,64.0,-768489.8002639273,15071.84869901611,0.05,0.0,,0.0,,34169,4816,4971,1.0,0.9688191510762422,1.0,144,623,4,1786,0,26937,7,0.9977871655602495,0.911932340503769,0.0,0,0.0,17.291955491552486,17.291955491552486,1.4583576920586434
22,PMC nonseq BH α=0.01,PMC,3.0,False,0.01,bh,0.0014773625215838923,25.607749508396957,64.0,-768489.8002639273,15071.84869901611,0.05,0.0,,0.0,,34169,4816,5048,1.0,0.9540412044374009,1.0,197,623,10,1786,18,26937,7,0.993066561014263,0.921676778819636,0.6682258603407952,17,1.2220243168084555,351.83087657727924,17.7836303705894,2.091701604038397
22,PMC nonseq BH α=0.001,PMC,3.0,False,0.001,bh,0.00014565834528373675,25.607749508396957,64.0,-768489.8002639273,15071.84869901611,0.05,0.0,,0.0,,34169,4816,4977,1.0,0.9676511954992968,1.0,149,623,5,1786,0,26937,7,0.997588908981314,0.9128516271373415,0.0,0,0.0,17.291955491552486,17.291955491552486,1.4583576920586434
22,HMC-IN seq BH α=0.01,HMC-IN,3.0,True,0.01,bh,0.0016201820363487373,5.917826417018659,64.0,-60507.858838457,,,0.0,,0.0,,34169,4816,5536,1.0,0.869942196531792,1.0,536,623,177,1786,0,26937,7,0.9667630057803468,0.9840044125758411,0.0,0,0.0,16.29193878842656,16.29193878842656,6.475108152740376
22,HMC-IN seq BH α=0.001,HMC-IN,3.0,True,0.001,bh,0.00015868184611782612,3.8226045420160517,64.0,-61312.83759899836,,,0.0,,0.0,,34169,4816,5422,1.0,0.8882331243083733,1.0,500,623,99,1786,0,26937,7,0.9804500184433789,0.9773855488141202,0.0,0,0.0,16.15026975548372,16.15026975548372,5.558426174874944
22,HMC-IN seq α=0.01,HMC-IN,3.0,True,0.01,none,0.01,1.845738915988477,64.0,-59505.273646547634,,,0.0,,0.0,,34169,4816,5734,1.0,0.8399023369375654,1.0,609,623,300,1786,2,26937,7,0.9461109173351936,0.9974259974259975,0.0742473178156439,1,0.07188378334167385,202.2200443171145,18.31697261225656,6.8334474713605005
