mote,method,zone,start,start_epoch,hours,n_flags,n_obs,y_min,y_max,median_prev_hour,jump_at_start,gap_before_h
47,PMC nonseq α=0.001,normal,2004-03-11 17:08,36500,0.0,1,1,22.605,22.605,23.099899999999998,0.2940000000000005,0.008333472526049391
47,PMC nonseq α=0.001,normal,2004-03-12 14:55,39115,1.491691582162841,4,154,21.2722,23.4576,21.3408,0.588000000000001,0.016666945052098783
47,PMC nonseq α=0.001,normal,2004-03-12 18:02,39489,0.0,1,1,23.0656,23.0656,23.3988,0.23519999999999897,0.008333472526049391
47,PMC nonseq α=0.001,normal,2004-03-14 17:20,45164,0.10833514283864208,2,14,22.7324,23.7712,30.9056,0.25479999999999947,0.008333472526049391
47,PMC nonseq α=0.001,normal,2004-03-15 09:35,47114,0.0,1,1,21.3016,21.3016,20.792,0.23519999999999897,0.008333472526049391
47,PMC nonseq α=0.001,normal,2004-03-15 15:20,47805,0.29167153841172866,2,33,21.8112,22.4972,21.3457,0.382200000000001,0.008333472526049391
47,PMC nonseq α=0.001,normal,2004-03-16 14:56,50636,1.150019208594816,4,110,21.6152,24.0848,21.473100000000002,0.25479999999999947,0.008333472526049391
47,PMC nonseq α=0.001,normal,2004-03-16 18:02,51008,0.0,1,1,22.5168,22.5168,23.3106,0.32339999999999947,0.008333472526049391
47,PMC nonseq α=0.001,normal,2004-03-17 15:07,53539,0.12500208789074085,3,14,21.7916,22.3992,21.135,0.2254000000000005,0.008333472526049391
47,PMC nonseq α=0.001,normal,2004-03-17 16:50,53745,1.1916865712250628,3,126,21.7916,23.7516,23.9378,0.23519999999999897,0.008333472526049391
47,PMC nonseq α=0.001,normal,2004-03-18 14:14,56313,2.958382746747534,10,317,20.694,22.9774,21.8994,0.2744,0.008333472526049391
47,PMC nonseq α=0.001,normal,2004-03-19 16:16,59437,1.7416957579443226,7,183,23.0754,25.349,24.5748,0.1960000000000015,0.008333472526049391
47,PMC nonseq α=0.001,normal,2004-03-20 13:19,61963,1.3833564393241988,5,139,27.75,31.1212,26.6132,0.0882000000000005,0.025000417578148172
47,PMC nonseq α=0.001,normal,2004-03-20 16:17,62319,0.8166803075528403,2,87,28.4948,30.5822,31.3858,0.1274000000000015,0.033333890104197565
47,PMC nonseq α=0.001,normal,2004-03-23 10:01,70207,0.0,1,1,21.4584,21.4584,21.478,0.382200000000001,0.008333472526049391
47,PMC nonseq α=0.001,normal,2004-03-23 14:58,70800,0.0,1,1,23.9182,23.9182,23.075400000000002,0.21559999999999846,0.008333472526049391
47,PMC nonseq α=0.001,normal,2004-03-23 16:53,71030,0.0,1,1,24.3984,24.3984,24.0162,0.19599999999999795,0.008333472526049391
47,PMC nonseq α=0.001,normal,2004-03-23 18:01,71166,0.0,1,1,22.2326,22.2326,22.918599999999998,0.2744,0.008333472526049391
47,PMC nonseq α=0.001,normal,2004-03-23 20:48,71500,0.0,1,1,22.262,22.262,21.919,0.6076000000000015,0.008333472526049391
47,PMC nonseq α=0.001,ambiguous,2004-03-23 22:23,71691,0.0,1,1,21.9974,21.9974,21.7622,0.25479999999999947,0.008333472526049391
47,PMC nonseq α=0.001,ambiguous,2004-03-24 01:12,72029,0.0,1,1,23.1342,23.1342,22.262,0.7153999999999989,0.008333472526049391
47,PMC nonseq α=0.001,climb,2004-03-24 02:20,72165,18.91698263413212,162,843,23.1538,59.6,22.889200000000002,0.25479999999999947,0.008333472526049391
