study,rate,method,spike_last,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
hmc_in_gauss_k2,0.05,persistence|raw,False,940,1.4777,2.1837,1.177,0.86721,,0.56809,0.9,1,16.818
hmc_in_gauss_k2,0.05,persistence|raw,True,50,8.6525,74.866,8.564,7.1224,,0,0,0.52,16.852
hmc_in_gauss_k2,0.05,ar1|clean,False,940,1.2499,1.5623,1.0134,0.70836,0.70836,0.49681,0.82234,0.95,5.0757
hmc_in_gauss_k2,0.05,ar1|clean,True,50,1.2086,1.4607,1.0166,0.69354,0.69354,0.44,0.82,0.98,5.0858
hmc_in_gauss_k2,0.05,persistence|clean,False,940,1.4777,2.1837,1.177,0.83476,,0.5,0.81277,0.95957,6.0794
hmc_in_gauss_k2,0.05,persistence|clean,True,50,1.2276,1.507,0.95942,0.69832,,0.64,0.92,0.98,6.1086
pmc_gauss_k2,0,pmc_state_K2|true+gate,False,990,0.9262,0.85784,0.67039,0.48171,0.49189,0.46162,0.78081,0.94646,3.8335
pmc_gauss_k2,0,pmc_state_K2|true,False,990,0.9262,0.85785,0.67039,0.48172,0.4919,0.46162,0.78081,0.94646,3.8335
pmc_gauss_k2,0,pmc_state_K2|clean,False,990,0.92755,0.86034,0.67236,0.48232,0.49297,0.4596,0.78687,0.95354,3.8468
pmc_gauss_k2,0,pmc_state_K2|raw+gate,False,990,0.92922,0.86345,0.67393,0.48335,0.4939,0.45859,0.78586,0.95253,3.8458
pmc_gauss_k2,0,pmc_state_K2|raw,False,990,0.92755,0.86034,0.67236,0.48232,0.49297,0.4596,0.78687,0.95354,3.8468
pmc_gauss_k2,0,pmc_state_K2|robust+gate,False,990,0.93378,0.87195,0.67692,0.48558,0.49607,0.45556,0.78384,0.94848,3.8316
pmc_gauss_k2,0,pmc_state_K2|robust,False,990,0.92757,0.86039,0.67269,0.48234,0.49307,0.45758,0.78586,0.95051,3.8341
pmc_gauss_k2,0,pmc_state_K2|hampel+gate,False,990,0.93378,0.87195,0.67692,0.48558,0.49607,0.45556,0.78384,0.94848,3.8316
pmc_gauss_k2,0,ar1|raw,False,990,0.9279,0.86101,0.67323,0.49397,0.49397,0.57778,0.86364,0.93838,3.5908
pmc_gauss_k2,0,ar1|raw+gate,False,990,1.0365,1.0743,0.7312,0.53976,0.53976,0.56263,0.84242,0.91919,3.6155
pmc_gauss_k2,0,ar1|robust+gate,False,990,1.0725,1.1503,0.74268,0.55231,0.55231,0.49293,0.78687,0.89394,3.0745
pmc_gauss_k2,0,persistence|raw,False,990,0.98226,0.96483,0.67683,0.50353,,0.47879,0.78081,0.94444,4.1022
pmc_gauss_k2,0,ar1|clean,False,990,0.9279,0.86101,0.67323,0.49397,0.49397,0.57778,0.86364,0.93838,3.5908
pmc_gauss_k2,0,persistence|clean,False,990,0.98226,0.96483,0.67683,0.50353,,0.47879,0.78081,0.94444,4.1022
pmc_gauss_k2,0.01,pmc_state_K2|true+gate,False,978,0.92988,0.86467,0.67274,0.48382,0.49363,0.46012,0.77914,0.94581,3.8308
pmc_gauss_k2,0.01,pmc_state_K2|true,False,978,0.93002,0.86493,0.67318,0.48415,0.49374,0.45706,0.77812,0.94581,3.8102
pmc_gauss_k2,0.01,pmc_state_K2|clean,False,978,0.93137,0.86744,0.67494,0.48452,0.49484,0.45808,0.78528,0.95297,3.8452
pmc_gauss_k2,0.01,pmc_state_K2|raw+gate,False,978,0.93362,0.87165,0.68452,0.48814,0.50787,0.47648,0.79959,0.97137,4.4323
pmc_gauss_k2,0.01,pmc_state_K2|raw,False,978,0.93388,0.87214,0.68493,0.48824,0.50794,0.47546,0.79755,0.97137,4.4268
pmc_gauss_k2,0.01,pmc_state_K2|robust+gate,False,978,0.93757,0.87904,0.67942,0.48775,0.49795,0.45092,0.78425,0.94785,3.8318
pmc_gauss_k2,0.01,pmc_state_K2|robust,False,978,0.93141,0.86753,0.6756,0.48467,0.4949,0.45092,0.78425,0.9499,3.8147
pmc_gauss_k2,0.01,pmc_state_K2|hampel+gate,False,978,0.93757,0.87904,0.67942,0.48775,0.49795,0.45092,0.78425,0.94785,3.8318
pmc_gauss_k2,0.01,ar1|raw,False,978,0.97983,0.96007,0.75687,0.56595,0.56595,0.70348,0.9407,0.98569,5.4315
pmc_gauss_k2,0.01,ar1|raw+gate,False,978,0.97983,0.96007,0.75687,0.56595,0.56595,0.70348,0.9407,0.98569,5.4315
pmc_gauss_k2,0.01,ar1|robust+gate,False,978,1.0772,1.1604,0.74624,0.55526,0.55526,0.49284,0.78732,0.89366,3.0816
pmc_gauss_k2,0.01,persistence|raw,False,978,0.98626,0.97271,0.67951,0.50692,,0.48671,0.80061,0.96933,5.4588
pmc_gauss_k2,0.01,ar1|clean,False,978,0.93182,0.86829,0.67602,0.49607,0.49607,0.57566,0.86196,0.93763,3.5912
pmc_gauss_k2,0.01,persistence|clean,False,978,0.98626,0.97271,0.67951,0.50565,,0.47955,0.77914,0.94376,4.1031
pmc_gauss_k2,0.01,pmc_state_K2|true+gate,True,12,1.0676,1.1398,0.83746,0.5516,0.58259,0.58333,0.91667,1,4.9215
