study,method,h,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
mote20,hmc_in_K3|raw,14,105,1.34795,1.81698,1.06803,0.755118,0.752775,0.428571,0.761905,0.942857,5.16749
mote20,hmc_in_K3|raw,15,103,1.39776,1.95374,1.1211,0.786921,0.783565,0.407767,0.757282,0.932039,5.22264
mote20,hmc_in_K3|raw,16,109,1.36158,1.85389,1.08013,0.76391,0.760591,0.449541,0.770642,0.93578,5.27337
mote20,hmc_in_K3|raw,17,104,1.33474,1.78153,1.05889,0.747322,0.743389,0.442308,0.807692,0.932692,5.28276
mote20,hmc_in_K3|raw,18,108,1.33408,1.77977,1.03772,0.739313,0.738056,0.472222,0.824074,0.935185,5.3678
mote20,hmc_in_K3|raw,19,99,1.34865,1.81886,1.05208,0.750231,0.748314,0.454545,0.787879,0.929293,5.35412
mote20,hmc_in_K3|raw,20,97,1.40475,1.97333,1.11229,0.79,0.78595,0.412371,0.773196,0.938144,5.44313
mote20,hmc_in_K3|raw,22,103,1.37559,1.89226,1.07097,0.7639,0.765201,0.446602,0.796117,0.932039,5.56154
mote20,hmc_in_K3|raw,23,107,1.42221,2.02269,1.11809,0.795479,0.794431,0.429907,0.785047,0.925234,5.60935
mote20,hmc_in_K3|raw,24,111,1.41665,2.00689,1.11934,0.794501,0.7922,0.432432,0.774775,0.936937,5.6741
mote20,hmc_in_K3|raw,6,102,1.33677,1.78695,1.05522,0.74206,0.737922,0.45098,0.784314,0.931373,4.9082
mote20,hmc_in_K3|raw,8,104,1.38326,1.91341,1.09636,0.77178,0.768077,0.423077,0.75,0.923077,4.97599
mote20,hmc_in_K3|raw,21,100,1.34137,1.79928,1.04971,0.753186,0.748816,0.48,0.79,0.95,5.4747
mote20,hmc_in_K3|robust+gate,1,106,1.33494,1.78208,1.05124,0.753805,0.748854,0.415094,0.707547,0.886792,4.17097
mote20,hmc_in_K3|robust+gate,2,109,1.32185,1.74729,1.04541,0.746931,0.744625,0.385321,0.706422,0.899083,4.14511
mote20,hmc_in_K3|robust+gate,3,105,1.36343,1.85895,1.06648,0.766533,0.761334,0.409524,0.695238,0.895238,4.23359
mote20,hmc_in_K3|robust+gate,4,108,1.39408,1.94347,1.10874,0.790575,0.785227,0.361111,0.694444,0.87963,4.24092
mote20,hmc_in_K3|robust+gate,5,98,1.34545,1.81023,1.06536,0.761027,0.75544,0.418367,0.673469,0.887755,4.26757
mote20,hmc_in_K3|robust+gate,7,106,1.39685,1.9512,1.10365,0.792472,0.786924,0.386792,0.679245,0.877358,4.33109
mote20,hmc_in_K3|robust+gate,9,105,1.33525,1.78289,1.0536,0.752789,0.747359,0.4,0.695238,0.904762,4.39062
mote20,hmc_in_K3|robust+gate,10,109,1.37187,1.88203,1.0847,0.775012,0.769484,0.376147,0.688073,0.889908,4.41903
mote20,hmc_in_K3|robust+gate,11,106,1.37512,1.89097,1.09329,0.779672,0.773757,0.358491,0.698113,0.886792,4.45343
mote20,hmc_in_K3|robust+gate,12,97,1.37906,1.9018,1.0849,0.774094,0.770944,0.381443,0.71134,0.886598,4.46884
mote20,hmc_in_K3|robust+gate,13,107,1.40833,1.98338,1.10431,0.798176,0.792492,0.373832,0.691589,0.878505,4.52963
mote20,hmc_in_K3|robust+gate,14,105,1.36136,1.85331,1.07078,0.770853,0.765753,0.390476,0.714286,0.895238,4.55745
mote20,hmc_in_K3|robust+gate,15,103,1.41187,1.99338,1.12636,0.807014,0.800032,0.359223,0.68932,0.873786,4.59842
mote20,hmc_in_K3|robust+gate,16,109,1.37552,1.89206,1.08432,0.779894,0.774275,0.385321,0.706422,0.880734,4.64074
mote20,hmc_in_K3|robust+gate,17,104,1.34597,1.81163,1.06156,0.759512,0.753268,0.384615,0.730769,0.894231,4.68628
mote20,hmc_in_K3|robust+gate,18,108,1.34978,1.82191,1.04078,0.752598,0.748623,0.416667,0.75,0.888889,4.74298
mote20,hmc_in_K3|robust+gate,19,99,1.3788,1.9011,1.07013,0.771759,0.768756,0.424242,0.727273,0.878788,4.77798
mote20,hmc_in_K3|robust+gate,20,97,1.42027,2.01718,1.11698,0.806725,0.799814,0.371134,0.71134,0.876289,4.85438
mote20,hmc_in_K3|robust+gate,22,103,1.39133,1.9358,1.07517,0.781386,0.778106,0.427184,0.718447,0.883495,4.96514
mote20,hmc_in_K3|robust+gate,23,107,1.43764,2.06681,1.12239,0.813489,0.80804,0.383178,0.71028,0.869159,5.02496
mote20,hmc_in_K3|robust+gate,24,111,1.43291,2.05324,1.12439,0.812651,0.806745,0.387387,0.702703,0.873874,5.07992
mote20,hmc_in_K3|robust+gate,6,102,1.35519,1.83653,1.06092,0.75966,0.754126,0.401961,0.735294,0.882353,4.29868
mote20,hmc_in_K3|robust+gate,8,104,1.40413,1.97158,1.10268,0.794671,0.789221,0.394231,0.682692,0.865385,4.35802
mote20,hmc_in_K3|robust+gate,21,100,1.3535,1.83197,1.04997,0.763801,0.756509,0.41,0.72,0.89,4.90892
mote20,hmc_in_K3|robust,1,106,1.32534,1.75653,1.04784,0.752586,0.748232,0.415094,0.707547,0.886792,4.14419
mote20,hmc_in_K3|robust,2,109,1.31828,1.73785,1.04409,0.746472,0.744433,0.385321,0.706422,0.899083,4.13443
mote20,hmc_in_K3|robust,3,105,1.35361,1.83225,1.06285,0.765227,0.760652,0.409524,0.695238,0.895238,4.20507
mote20,hmc_in_K3|robust,4,108,1.38491,1.91798,1.10521,0.789303,0.784545,0.361111,0.694444,0.87963,4.21304
mote20,hmc_in_K3|robust,5,98,1.33826,1.79095,1.06271,0.760059,0.754881,0.418367,0.673469,0.887755,4.2479
mote20,hmc_in_K3|robust,7,106,1.3879,1.92628,1.10007,0.791171,0.786173,0.386792,0.679245,0.877358,4.30235
mote20,hmc_in_K3|robust,9,105,1.32603,1.75835,1.04999,0.751472,0.746561,0.4,0.695238,0.904762,4.3615
mote20,hmc_in_K3|robust,10,109,1.36326,1.85848,1.08122,0.773742,0.768702,0.376147,0.688073,0.889908,4.39097
mote20,hmc_in_K3|robust,11,106,1.36635,1.86691,1.08972,0.778364,0.772938,0.358491,0.698113,0.886792,4.42458
mote20,hmc_in_K3|robust,12,97,1.36959,1.87579,1.081,0.772663,0.770028,0.381443,0.71134,0.886598,4.43735
mote20,hmc_in_K3|robust,13,107,1.39994,1.95982,1.10078,0.796877,0.791649,0.373832,0.691589,0.878505,4.50114
mote20,hmc_in_K3|robust,14,105,1.35541,1.83712,1.06832,0.769939,0.765115,0.390476,0.714286,0.895238,4.53949
mote20,hmc_in_K3|robust,15,103,1.40606,1.977,1.12387,0.806082,0.799369,0.359223,0.68932,0.873786,4.5802
mote20,hmc_in_K3|robust,16,109,1.36993,1.8767,1.08196,0.779012,0.773637,0.385321,0.706422,0.880734,4.62361
mote20,hmc_in_K3|robust,17,104,1.34009,1.79584,1.05909,0.758586,0.75258,0.384615,0.730769,0.894231,4.66844
mote20,hmc_in_K3|robust,18,108,1.34149,1.79959,1.0373,0.751304,0.747694,0.416667,0.75,0.888889,4.71546
mote20,hmc_in_K3|robust,19,99,1.37,1.87689,1.06634,0.770345,0.767723,0.424242,0.727273,0.878788,4.74822
mote20,hmc_in_K3|robust,20,97,1.41157,1.99253,1.11312,0.80528,0.798747,0.371134,0.71134,0.876289,4.8243
mote20,hmc_in_K3|robust,22,103,1.38305,1.91283,1.07154,0.780023,0.777068,0.427184,0.718447,0.883495,4.93749
