station,rate,block,seed,n_hidden,n_real_missing,method,K,n,rmse,mae,crps,crps_kind,cov90,width90,fit_s,status,impute_s,n_iter,ll,agree_ref_observed,agree_ref_hidden,n_warnings,pi_sorted,mean_sorted,sd_sorted,stay_sorted,margins,copulas,finite_params
aotizhongxin,0.2,1,0,1752,37,locf,0,1752,0.3968453725026508,0.24178021881384956,0.24178021881384956,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,1,1,1752,37,ar1,0,1752,0.26307470646834363,0.1608898201427267,0.13070841513512166,gaussian,0.9252283105022832,0.8746420718945217,0.013376415998209268,,,,,,,,,,,,,,
aotizhongxin,0.2,1,1,1752,37,linear,0,1752,0.2630821796570484,0.16083115907881854,0.16083115907881854,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,1,1,1752,37,locf,0,1752,0.37570804752684817,0.23017915230767388,0.23017915230767388,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,1,2,1752,37,ar1,0,1752,0.26191793268724983,0.15738709973229553,0.1304720636274313,gaussian,0.9212328767123288,0.8863379635455119,0.015472208000574028,,,,,,,,,,,,,,
aotizhongxin,0.2,1,2,1752,37,linear,0,1752,0.26178823367827886,0.1574724729759113,0.1574724729759113,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,1,2,1752,37,locf,0,1752,0.3883789783105407,0.23223001433330595,0.23223001433330595,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,1,3,1752,37,ar1,0,1752,0.2449312303933813,0.1530176158564949,0.12557551003243259,gaussian,0.9337899543378996,0.888607035675704,0.01401554200128885,,,,,,,,,,,,,,
aotizhongxin,0.2,1,3,1752,37,linear,0,1752,0.24513195258387527,0.15305605025572488,0.15305605025572488,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,1,3,1752,37,locf,0,1752,0.3592221471465067,0.22579170567564838,0.22579170567564838,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,1,4,1752,37,ar1,0,1752,0.26610331457648734,0.16192960950607588,0.13337360786909075,gaussian,0.9189497716894978,0.8859605181921175,0.011135374999867054,,,,,,,,,,,,,,
aotizhongxin,0.2,1,4,1752,37,linear,0,1752,0.26493958811637747,0.16101034934302894,0.16101034934302894,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,1,4,1752,37,locf,0,1752,0.37194699037339507,0.2305653916553701,0.2305653916553701,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,6,0,1752,37,ar1,0,1752,0.49224508586724325,0.3211865218723758,0.2453635003522235,gaussian,0.9115296803652968,1.52323249730417,0.009245249999366933,,,,,,,,,,,,,,
aotizhongxin,0.2,6,0,1752,37,linear,0,1752,0.4958745379775174,0.3218216552201192,0.3218216552201192,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,6,0,1752,37,locf,0,1752,0.8593801012224268,0.5396657839702466,0.5396657839702466,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,6,1,1752,37,ar1,0,1752,0.5557969456059819,0.36403958063662506,0.2743305490870152,gaussian,0.8886986301369864,1.5255495539613153,0.013501958001143066,,,,,,,,,,,,,,
aotizhongxin,0.2,6,1,1752,37,linear,0,1752,0.555541576303348,0.3662982207771851,0.3662982207771851,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,6,1,1752,37,locf,0,1752,0.776663231131357,0.500210019764598,0.500210019764598,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,6,2,1752,37,ar1,0,1752,0.46168346452258907,0.3185092974368259,0.23927309712970013,gaussian,0.910958904109589,1.5101522461667067,0.013657041999977082,,,,,,,,,,,,,,
aotizhongxin,0.2,6,2,1752,37,linear,0,1752,0.46278432172049483,0.316007715316822,0.316007715316822,dirac(=mae),,,,,,,,,,,,,,,,,
