series,K,model,strategy,start,N,n_missing,status,error,run_tag,runtime_s,init_s,n_iter,ll_trace_last,n_ll_decreases,max_ll_decrease,ll,n_params,bic,pi_sorted,mean_sorted,sd_sorted,stay_sorted,margins,copulas,finite_params,n_warnings,n_regressions_warned,warnings,ll_gap_to_best,agree_with_best,min_margin_sd,y_sd,ll_trace_max,min_pi,degenerate
huairou,2,pmc_state_gice,available,0,8760,334,ok,,kmeans,7.708002041003056,0.5328062919979857,11,-734.524376044887,2,10.643578795913982,-734.524376044887,11,1568.4786039577027,0.2356|0.7644,2.4254|4.2064,1.1187|0.8539,0.9323|0.9792,0:gamma;1:norm,00:GH(0.582);01:Gauss(0.147);10:GH(0.213);11:GH(0.869),True,1,1,ICE iter 7,27.272930792998864,0.9248858447488585,0.8538758909455334,1.1767602124940608,-725.2189387212258,0.2356,False
huairou,2,pmc_state_gice,available,1,8760,334,ok,,family-random-1,7.509725040999911,0.4971350839987281,9,-734.4975981329573,2,376.6439252982102,-734.4975981329573,11,1568.4250481338431,0.2283|0.7717,2.4041|4.1960,1.1135|0.8608,0.9300|0.9793,0:gamma;1:norm,00:GH(0.578);01:Clayton(0.139);10:GH(0.224);11:GH(0.869),True,2,1,"GH.correct_tau: τ=1.2837 outside valid range [0.0000, 1.0000] — clipped to τ=1.0000. || ICE iter 2",27.246152881069065,0.9277397260273973,0.8607819345228883,1.1767602124940608,-734.4868018086179,0.2283,False
huairou,2,pmc_state_gice,available,2,8760,334,ok,,family-random-2,9.47626450000098,0.520498083998973,13,-734.1719837374474,3,730.7527222198678,-734.1719837374474,11,1567.7738193428233,0.2311|0.7689,2.4137|4.1997,1.1171|0.8584,0.9305|0.9791,0:gamma;1:norm,00:GH(0.580);01:Clayton(0.131);10:GH(0.220);11:GH(0.869),True,3,2,"GH.correct_tau: τ=1.2837 outside valid range [0.0000, 1.0000] — clipped to τ=1.0000. || ICE iter 1 || ICE iter 3",26.920538485559177,0.9267123287671233,0.8584447437559862,1.1767602124940608,-734.1093438797675,0.2311,False
huairou,2,pmc_state_gice,impute,0,8760,334,ok,,kmeans,96.37150875000225,0.7286457499976677,29,-735.0966412054172,12,2.257132166096085,-735.0966412054172,11,1569.623134278763,0.2253|0.7747,2.3901|4.1906,1.1092|0.8657,0.9296|0.9795,0:gamma;1:norm,00:GH(0.572);01:Clayton(0.115);10:GH(0.208);11:GH(0.869),True,12,12,ICE iter 5 || ICE iter 7 || ICE iter 8,27.845195953529014,0.9307077625570777,0.865696500792092,1.1767602124940608,-733.7754916043527,0.2253,False
huairou,2,pmc_state_gice,sem,0,8760,334,ok,,kmeans,21.728214791997743,0.4673978749997332,30,-707.3904784799056,12,8.24766594988182,-707.2514452518882,11,1513.932742371705,0.1565|0.8435,2.1696|4.0909,1.2400|0.9445,0.8975|0.9810,0:gamma;1:norm,00:GH(0.500);01:Clayton(0.117);10:GH(0.276);11:GH(0.866),True,0,0,,0.0,1.0,0.944485331575207,1.1767602124940608,-700.0383573748148,0.1565,False
huairou,3,hmc_in,available,0,8760,334,ok,,kmeans,0.7412857910021557,0.021738624996942235,17,-6969.165248834758,0,0.0,-6969.165248834758,12,14046.799426979984,0.3166|0.3513|0.3321,2.3700|3.9217|4.9855,0.7356|0.3726|0.3935,0.9522|0.9334|0.9657,0:norm;1:norm;2:norm,,True,0,0,,0.6963191154382002,0.9855022831050229,0.3726022281492637,1.1767602124940608,-6969.165248834758,0.3166,False
huairou,3,hmc_in,available,1,8760,334,ok,,perturbed-1,0.6917645419998735,0.024457625000650296,16,-6969.37593421081,0,0.0,-6969.37593421081,12,14047.220797732087,0.3163|0.3509|0.3329,2.3690|3.9200|4.9843,0.7353|0.3725|0.3939,0.9522|0.9333|0.9657,0:norm;1:norm;2:norm,,True,0,0,,0.9070044914897153,0.9845890410958904,0.37246659035538016,1.1767602124940608,-6969.37593421081,0.3163,False
huairou,3,hmc_in,available,2,8760,334,ok,,perturbed-2,0.8432135000002745,0.024207250000472413,18,-6969.172079077515,0,0.0,-6969.172079077515,12,14046.813087465498,0.3166|0.3512|0.3321,2.3700|3.9217|4.9855,0.7356|0.3726|0.3935,0.9522|0.9334|0.9657,0:norm;1:norm;2:norm,,True,0,0,,0.7031493581953328,0.9855022831050229,0.37259555524341864,1.1767602124940608,-6969.172079077515,0.3166,False
huairou,3,hmc_in,impute,0,8760,334,ok,,kmeans,5.558617291997507,0.019948916000430472,17,-6969.3971650362155,0,0.0,-6969.3971650362155,12,14047.263259382898,0.3162|0.3510|0.3328,2.3680|3.9195|4.9847,0.7358|0.3729|0.3937,0.9522|0.9333|0.9657,0:norm;1:norm;2:norm,,True,0,0,,0.9282353168955524,0.9844748858447488,0.372879469481271,1.1767602124940608,-6969.3971650362155,0.3162,False
huairou,3,hmc_in,impute,1,8760,334,ok,,perturbed-1,5.481027999998332,0.02455125000051339,17,-6969.135381523869,0,0.0,-6969.135381523869,12,14046.739692358206,0.3164|0.3518|0.3319,2.3706|3.9219|4.9858,0.7349|0.3735|0.3934,0.9522|0.9335|0.9658,0:norm;1:norm;2:norm,,True,0,0,,0.6664518045490695,0.9853881278538813,0.3734932533631419,1.1767602124940608,-6969.135381523869,0.3164,False
