task_id,task,wall_s
cv__huairou__model__pmc_state__r0.2__b1__s4__625d4d79,cv,18.27069708399722
cv__huairou__model__pmc_state__r0.2__b48__s0__6e556791,cv,19.13399695899716
cv__huairou__model__pmc_state__r0.2__b48__s1__00211a88,cv,20.816111125001044
cv__huairou__model__pmc_state__r0.2__b48__s2__f238f3ee,cv,18.591870958000072
cv__huairou__model__pmc_state__r0.2__b48__s3__fd65762f,cv,18.06622595799854
cv__huairou__model__pmc_state__r0.2__b48__s4__54f9271a,cv,16.976728707999428
cv__huairou__model__pmc_state__r0.2__b6__s0__1174456e,cv,17.27610262500093
cv__huairou__model__pmc_state__r0.2__b6__s1__bf4dd9a9,cv,10.947591416002979
cv__huairou__model__pmc_state__r0.2__b6__s2__e007a001,cv,16.84136583399959
cv__huairou__model__pmc_state__r0.2__b6__s3__893deb1c,cv,12.733447957998578
cv__huairou__model__pmc_state__r0.2__b6__s4__78590bd3,cv,14.8543606250023
forecast__a98df1e8,forecast,50.9736002919999
huairou__K2__hmc_in__available__s0__de02281b,fit,0.4326368750007532
huairou__K2__hmc_in__available__s1__d47d0bf6,fit,0.4414187500005937
huairou__K2__hmc_in__available__s2__9815e346,fit,0.3907163750009204
huairou__K2__hmc_in__impute__s0__1d4c6ded,fit,2.820965000002616
huairou__K2__hmc_in__impute__s1__0f0c502d,fit,2.8395002500001283
huairou__K2__hmc_in__impute__s2__ad991b1e,fit,2.4858634999982314
huairou__K2__hmc_in__sem__s0__afdf2d22,fit,3.325974375002261
huairou__K2__hmc_in__sem__s1__691e20a1,fit,3.334581250001065
huairou__K2__hmc_in__sem__s2__bda754f4,fit,3.32786329100054
huairou__K2__pmc_pair__available__s0__69848096,fit,5.186218666000059
huairou__K2__pmc_pair__available__s1__a3cb7eff,fit,15.827136042000348
huairou__K2__pmc_pair__available__s2__f72f05d5,fit,7.085883875002764
huairou__K2__pmc_pair__impute__s0__857824cd,fit,24.957678042002954
huairou__K2__pmc_pair__impute__s1__cd3e24ef,fit,37.93851641600122
huairou__K2__pmc_pair__impute__s2__ed5807c0,fit,38.409448291000444
huairou__K2__pmc_pair__sem__s0__616c5bd1,fit,11.100675500001671
huairou__K2__pmc_pair__sem__s1__568ff874,fit,11.159630291997019
huairou__K2__pmc_pair__sem__s2__1e72fe45,fit,11.347067583999888
huairou__K2__pmc_state__available__s0__51e18651,fit,5.469551750000392
huairou__K2__pmc_state__available__s1__af4fcc91,fit,4.645822791000683
huairou__K2__pmc_state__available__s2__e775dbd4,fit,5.756144625000161
huairou__K2__pmc_state__impute__s0__508852c3,fit,24.108430874999613
huairou__K2__pmc_state__impute__s1__5e37d90b,fit,28.476646250001068
huairou__K2__pmc_state__impute__s2__4992c08f,fit,23.303329750000557
huairou__K2__pmc_state__sem__s0__cc271af3,fit,10.608471999999892
huairou__K2__pmc_state__sem__s1__fb74abdc,fit,10.388748917001067
huairou__K2__pmc_state__sem__s2__c5a322ac,fit,10.906215083999996
huairou__K2__pmc_state_gice__available__s0__deac10bf,fit,8.306154833000619
huairou__K2__pmc_state_gice__available__s1__b42535a9,fit,8.070345249998354
huairou__K2__pmc_state_gice__available__s2__97b1c69c,fit,10.063104332999501
huairou__K2__pmc_state_gice__impute__s0__75db3f72,fit,97.16749295900081
huairou__K2__pmc_state_gice__sem__s0__b1b40bf2,fit,22.260552707997704
huairou__K3__hmc_in__available__s0__6d9ea914,fit,0.8069570829975419
huairou__K3__hmc_in__available__s1__231fd6b8,fit,0.7590317079993838
huairou__K3__hmc_in__available__s2__bfda9b7b,fit,0.9102628340006049
huairou__K3__hmc_in__impute__s0__9646c3a6,fit,5.621497582997108
huairou__K3__hmc_in__impute__s1__8d9ac80e,fit,5.547209332999046
huairou__K3__hmc_in__impute__s2__5828172a,fit,5.886648292002064
huairou__K3__hmc_in__sem__s0__d50943bb,fit,3.3644207500001357
huairou__K3__hmc_in__sem__s1__00a6b3ed,fit,3.338216000000102
huairou__K3__hmc_in__sem__s2__c39fec9f,fit,3.387998125002923
huairou__K3__pmc_pair__available__s0__d0d1fdd7,fit,25.33396745799837
huairou__K3__pmc_pair__available__s1__712a417f,fit,31.11344312499932
huairou__K3__pmc_pair__available__s2__3704725a,fit,10.315740792000724
huairou__K3__pmc_pair__impute__s0__6e1a269f,fit,139.7052745000001
huairou__K3__pmc_pair__sem__s0__bf5524f9,fit,20.238987833003193
huairou__K3__pmc_state__available__s0__200a6572,fit,14.389176666998537
huairou__K3__pmc_state__available__s1__312df6eb,fit,29.039381333001074
huairou__K3__pmc_state__available__s2__a94ff84d,fit,29.38710079199882
huairou__K3__pmc_state__impute__s0__c17a6218,fit,134.72768587500104
huairou__K3__pmc_state__sem__s0__ef4f137e,fit,17.436707834000117
huairou__K3__pmc_state_gice__available__s0__131c11a0,fit,23.657098457999382
huairou__K3__pmc_state_gice__available__s1__63cf05fd,fit,18.04547475000072
huairou__K3__pmc_state_gice__available__s2__7f72d049,fit,10.966267000003427
