series,K,model,strategy,start,method,gap_class,n,rmse,mae,crps,crps_kind,cov90,width90,impute_s,ar1_params
tsnh4,2,pmc_pair,sem,0,pmc_posterior,>20,463,0.33510960333499235,0.26308180533582937,0.17391362332346305,samples,0.9265658747300216,1.079984198388081,0.43763524999667425,
tsnh4,2,pmc_pair,sem,0,pmc_posterior,all,883,0.2506262095673073,0.16690172511475496,0.1142373187986237,samples,0.9297848244620611,0.7172161102390233,0.43763524999667425,
tsnh4,2,pmc_pair,sem,1,pmc_posterior,1-2,120,0.0818424105363259,0.05170274922629255,0.04203004265554442,samples,0.8833333333333333,0.2330238454362937,0.43960024999978486,
tsnh4,2,pmc_pair,sem,1,pmc_posterior,3-20,300,0.08767755275150553,0.062066959536635054,0.05469194288188366,samples,0.9066666666666666,0.40807873430024694,0.43960024999978486,
tsnh4,2,pmc_pair,sem,1,pmc_posterior,>20,463,0.42808680143140604,0.3195064211229566,0.22265135958694546,samples,0.857451403887689,1.163607200182482,0.43960024999978486,
tsnh4,2,pmc_pair,sem,1,pmc_posterior,all,883,0.31561582098846364,0.19564653538853286,0.14104050676329125,samples,0.8776896942242356,0.7804491680939056,0.43960024999978486,
tsnh4,2,pmc_pair,sem,2,pmc_posterior,1-2,120,0.08596846588403416,0.05299439137421085,0.04295672407309499,samples,0.9,0.23312752802792255,0.4532971250009723,
tsnh4,2,pmc_pair,sem,2,pmc_posterior,3-20,300,0.08739770961747156,0.061615492942592574,0.05476094743168169,samples,0.9133333333333333,0.41166733189127097,0.4532971250009723,
tsnh4,2,pmc_pair,sem,2,pmc_posterior,>20,463,0.4208389035153075,0.3170835519209492,0.21483542758507523,samples,0.8941684665226782,1.2109298204580061,0.4532971250009723,
tsnh4,2,pmc_pair,sem,2,pmc_posterior,all,883,0.3105873756999797,0.19439825525150914,0.13709161278614465,samples,0.9014722536806342,0.8064960473417767,0.4532971250009723,
tsnh4,2,pmc_state,available,0,pmc_posterior,1-2,120,0.10074735360667196,0.0569423664107195,0.044002922916255315,samples,0.8833333333333333,0.22205406359379948,0.4082166670013976,
tsnh4,2,pmc_state,available,0,pmc_posterior,3-20,300,0.08747559469632175,0.06218273094588498,0.050276988693299586,samples,0.9366666666666666,0.3704079105797847,0.4082166670013976,
tsnh4,2,pmc_state,available,0,pmc_posterior,>20,463,0.42638878822231163,0.3188698415429913,0.223262164833427,samples,0.9114470842332614,1.2695724409985054,0.4082166670013976,
tsnh4,2,pmc_state,available,0,pmc_posterior,all,883,0.3151343401529599,0.1960641448329069,0.14012891243014408,samples,0.9161947904869762,0.8217224246744046,0.4082166670013976,
tsnh4,2,pmc_state,available,1,pmc_posterior,1-2,120,0.1005869370762463,0.05702906447522573,0.043893493584612135,samples,0.8833333333333333,0.21987597961770777,0.404017875000136,
tsnh4,2,pmc_state,available,1,pmc_posterior,3-20,300,0.08755727917795773,0.062304026573392145,0.050401619205470025,samples,0.9366666666666666,0.3660936424224494,0.404017875000136,
tsnh4,2,pmc_state,available,1,pmc_posterior,>20,463,0.41399206638789615,0.31233222347074013,0.21974461860245809,samples,0.9136069114470843,1.227395179753432,0.404017875000136,
tsnh4,2,pmc_state,available,1,pmc_posterior,all,883,0.30634534716676604,0.19268914515967994,0.13831196308576735,samples,0.9173272933182333,0.7978450492714594,0.404017875000136,
tsnh4,2,pmc_state,available,2,pmc_posterior,1-2,120,0.1019095155800902,0.05743510510003354,0.04534522512586236,samples,0.9083333333333333,0.23272504894052973,0.4201249170000665,
tsnh4,2,pmc_state,available,2,pmc_posterior,3-20,300,0.0872566001683822,0.06222447048265788,0.05122872588212288,samples,0.9366666666666666,0.3759914418600878,0.4201249170000665,
tsnh4,2,pmc_state,available,2,pmc_posterior,>20,463,0.42592550610455465,0.31631344027981506,0.20738085569033485,samples,0.9028077753779697,1.4082960872641719,0.4201249170000665,
tsnh4,2,pmc_state,available,2,pmc_posterior,all,883,0.31483585167641914,0.19480484326880607,0.13230733971049308,samples,0.9150622876557192,0.8978092036627424,0.4201249170000665,
tsnh4,2,pmc_state,impute,0,pmc_posterior,1-2,120,0.1018448041255888,0.05744864623228292,0.04414875811156826,samples,0.875,0.22864180883258323,0.4086343329981901,
tsnh4,2,pmc_state,impute,0,pmc_posterior,3-20,300,0.08757510993271594,0.06226631748150645,0.051286049967237124,samples,0.9466666666666667,0.3759841229926775,0.4086343329981901,
tsnh4,2,pmc_state,impute,0,pmc_posterior,>20,463,0.43822123748446584,0.3267271691937282,0.23428699184507643,samples,0.9352051835853131,1.4815625982364968,0.4086343329981901,
tsnh4,2,pmc_state,impute,0,pmc_posterior,all,883,0.32358942007739977,0.20028132743943608,0.14627241584125678,samples,0.9309173272933182,0.9356690112584499,0.4086343329981901,
tsnh4,2,pmc_state,impute,1,pmc_posterior,1-2,120,0.10033891482642085,0.05674003615028607,0.04430794106241945,samples,0.9,0.24731870639598075,0.425151958999777,
tsnh4,2,pmc_state,impute,1,pmc_posterior,3-20,300,0.08763101331324268,0.06226579235830214,0.053251373676811334,samples,0.95,0.43795645018384105,0.425151958999777,
tsnh4,2,pmc_state,impute,1,pmc_posterior,>20,463,0.4122808789217396,0.31274295627217436,0.21512222464484165,samples,0.9244060475161987,1.2740116406397195,0.425151958999777,
tsnh4,2,pmc_state,impute,1,pmc_posterior,all,883,0.3051290006130544,0.19285224326108916,0.13691274636590647,samples,0.9297848244620611,0.8504332609726615,0.425151958999777,
tsnh4,2,pmc_state,impute,2,pmc_posterior,1-2,120,0.10177547066008101,0.057430370476919006,0.04464790366038372,samples,0.875,0.23044614283341674,0.4054363330033084,
tsnh4,2,pmc_state,impute,2,pmc_posterior,3-20,300,0.08771771876289174,0.062266627274956195,0.05142101255391036,samples,0.94,0.383043903887275,0.4054363330033084,
tsnh4,2,pmc_state,impute,2,pmc_posterior,>20,463,0.429761695046171,0.31998084526062787,0.21376054265776367,samples,0.9330453563714903,1.4546658347656458,0.4054363330033084,
