model,k,rate,rep,N,n_spikes,method,detect,false_rate,nbr_false,n_masked,err_clean,fits,converged,seconds,mu0,mu1,sd0,sd1,A00,A11,tau00,tau11,prescreen_detect,prescreen_false
pmc_gauss_k2,4,0.05,6,2000,100,dpd,0.0,0.0,0,0,nan,0,True,0.0548922500001936,-0.05979968327348779,2.4372241670329804,1.329217992752536,2.941730801146683,0.8727378891542664,0.07834749898183839,0.6960717558253977,0.944721093334033,,
pmc_gauss_k2,6,0.05,6,2000,100,true_seq,1.0,0.0005263157894736842,0,101,0.14263157894736844,0,True,0.2763160839986085,,,,,,,,,,
pmc_gauss_k2,6,0.05,6,2000,100,true_nonseq,1.0,0.003157894736842105,1,106,nan,0,True,0.09497483400082274,,,,,,,,,,
pmc_gauss_k2,6,0.05,6,2000,100,true_raw,0.0,0.0,0,0,0.2784210526315789,0,True,0.0,,,,,,,,,,
pmc_gauss_k2,6,0.05,6,2000,100,clean,0.0,0.0,0,0,0.13578947368421057,1,True,0.09744624999984808,-0.9277779720652506,0.9982047950537403,0.9618137819136958,0.9599460552847089,0.9092041877241511,0.8963609025615215,0.5828353723266924,0.5885440084351586,,
pmc_gauss_k2,6,0.05,6,2000,100,raw,0.0,0.0,0,0,0.49421052631578943,1,True,0.2510693750009523,-0.03816536745743019,3.808622706798925,1.3301470781934845,4.185548598898634,0.8866619504999533,0.06850850196954189,0.6932737053883723,-0.40278647935143036,,
pmc_gauss_k2,6,0.05,6,2000,100,oracle,1.0,0.0,0,100,0.1394736842105263,1,True,0.18705237500034855,-0.9262922598375176,1.0014367141490472,0.9613211225022191,0.9508903389498553,0.9059573323823165,0.8932983113424442,0.584762212696512,0.591238733079869,,
pmc_gauss_k2,6,0.05,6,2000,100,fm,0.0,0.0,0,0,0.49421052631578943,1,True,0.3432025000001886,-0.03816536745743019,3.808622706798925,1.3301470781934845,4.185548598898634,0.8866619504999533,0.06850850196954189,0.6932737053883723,-0.40278647935143036,,
pmc_gauss_k2,6,0.05,6,2000,100,fm_hampel,1.0,0.0010526315789473684,0,102,0.1389473684210526,3,True,2.6342221249997237,-0.9281269426109625,0.9984071317432957,0.9533838577829865,0.9489629445148734,0.9054548978970983,0.8933795987565832,0.5820563566832475,0.5931193864379714,0.85,0.008421052631578947
pmc_gauss_k2,6,0.05,6,2000,100,fm_warm,0.0,0.0,0,0,0.49421052631578943,1,True,0.34039204100008646,-0.03816536745743019,3.808622706798925,1.3301470781934845,4.185548598898634,0.8866619504999533,0.06850850196954189,0.6932737053883723,-0.40278647935143036,,
pmc_gauss_k2,6,0.05,6,2000,100,dpd,0.0,0.0,0,0,nan,0,True,0.051282332999107894,-0.03816536745743019,3.808622706798925,1.3301470781934845,4.185548598898634,0.8866619504999533,0.06850850196954189,0.6971321428431937,-0.39255022764067304,,
pmc_gauss_k2,8,0.05,6,2000,100,true_seq,1.0,0.0005263157894736842,0,101,0.14105263157894732,0,True,0.27708004099986283,,,,,,,,,,
pmc_gauss_k2,8,0.05,6,2000,100,true_nonseq,1.0,0.002105263157894737,0,104,nan,0,True,0.0982151669995801,,,,,,,,,,
pmc_gauss_k2,8,0.05,6,2000,100,true_raw,0.0,0.0,0,0,0.261578947368421,0,True,0.0,,,,,,,,,,
pmc_gauss_k2,8,0.05,6,2000,100,clean,0.0,0.0,0,0,0.13526315789473686,1,True,0.10249841600125364,-0.9277779720652506,0.9982047950537403,0.9618137819136958,0.9599460552847089,0.9092041877241511,0.8963609025615215,0.5828353723266924,0.5885440084351586,,
pmc_gauss_k2,8,0.05,6,2000,100,raw,0.0,0.0,0,0,0.49315789473684213,1,True,0.25228770799913036,-0.03929046863294482,5.0694492453887126,1.3230584039103728,5.5159672599881375,0.8897252329330728,0.09402927536305086,0.6860730775390723,0.9640482675457672,,
pmc_gauss_k2,8,0.05,6,2000,100,oracle,1.0,0.0,0,100,0.14105263157894732,1,True,0.1848925419999432,-0.9134405841459735,1.0064413427118586,0.9599608522427866,0.9640193809109542,0.910663779781037,0.8956117334408479,0.5830291253078513,0.591088666193656,,
pmc_gauss_k2,8,0.05,6,2000,100,fm,0.01,0.0,0,1,0.49473684210526314,2,True,0.8278748339998856,-0.041960172796811405,5.053067930584625,1.322833846346198,5.484321294391947,0.8904105688117884,0.09606937087853697,0.6859998966665367,0.9640285584945034,,
pmc_gauss_k2,8,0.05,6,2000,100,fm_hampel,1.0,0.0010526315789473684,0,102,0.14052631578947372,3,True,1.7138588329999038,-0.9158316320728737,1.0017021889435633,0.9520890022894781,0.9630384458438178,0.9100366915301502,0.8958697685000401,0.5804579731932902,0.5925711315533809,0.97,0.008947368421052631
pmc_gauss_k2,8,0.05,6,2000,100,fm_warm,0.01,0.0,0,1,0.49526315789473685,2,True,0.521987000000081,-0.04198059931426269,5.042366434887599,1.3229908216095172,5.483382159772082,0.8901319340968098,0.09593651912652676,0.6862832769264399,0.966198734036053,,
pmc_gauss_k2,8,0.05,6,2000,100,dpd,0.0,0.0,0,0,nan,0,True,0.05397912499938684,-0.03929046863294482,5.0694492453887126,1.3230584039103728,5.5159672599881375,0.8897252329330728,0.09402927536305086,0.6905258747424066,0.965664497151901,,
pmc_gauss_k2,0,0.0,7,2000,0,true_seq,nan,0.001,0,2,0.13249999999999995,0,True,0.10244912500093051,,,,,,,,,,
pmc_gauss_k2,0,0.0,7,2000,0,true_nonseq,nan,0.001,0,2,nan,0,True,0.09362779200091609,,,,,,,,,,
pmc_gauss_k2,0,0.0,7,2000,0,true_raw,nan,0.0,0,0,0.13249999999999995,0,True,0.0,,,,,,,,,,
pmc_gauss_k2,0,0.0,7,2000,0,clean,nan,0.0,0,0,0.129,1,True,0.10120083400033764,-0.9483637580956072,1.0233740906827542,0.9969475278109667,1.0311541479041315,0.8946290134171302,0.882774836229871,0.6016835310912785,0.6016005509515014,,
pmc_gauss_k2,0,0.0,7,2000,0,raw,nan,0.0,0,0,0.129,1,True,0.10154766699997708,-0.9483637580956072,1.0233740906827542,0.9969475278109667,1.0311541479041315,0.8946290134171302,0.882774836229871,0.6016835310912785,0.6016005509515014,,
pmc_gauss_k2,0,0.0,7,2000,0,oracle,nan,0.0,0,0,0.129,1,True,0.10241850000056729,-0.9483637580956072,1.0233740906827542,0.9969475278109667,1.0311541479041315,0.8946290134171302,0.882774836229871,0.6016835310912785,0.6016005509515014,,
pmc_gauss_k2,0,0.0,7,2000,0,fm,nan,0.001,0,2,0.12949999999999995,2,True,0.45766529199863726,-0.9520035121724139,1.0189677798341883,0.9942605229974664,1.0225235503357895,0.8943335364381306,0.8826305890225451,0.6003820082600101,0.6023964413494508,,
pmc_gauss_k2,0,0.0,7,2000,0,fm_hampel,nan,0.001,0,2,0.12949999999999995,2,True,0.5123219160013832,-0.9520035121724139,1.0189677798341883,0.9942605229974664,1.0225235503357895,0.8943335364381306,0.8826305890225451,0.6003820082600101,0.6023964413494508,nan,0.011
pmc_gauss_k2,0,0.0,7,2000,0,fm_warm,nan,0.001,0,2,0.13349999999999995,2,True,0.41279579199908767,-0.935344964551329,1.0297719841817214,1.0033151425760538,1.0205730637983386,0.8946742937495293,0.8796421218744502,0.6034994646532634,0.605058642697478,,
pmc_gauss_k2,0,0.0,7,2000,0,dpd,nan,0.0,0,0,nan,0,True,0.05597570800091489,-0.9483637580956072,1.0233740906827542,0.9969475278109667,1.0311541479041315,0.8946290134171302,0.882774836229871,0.5977667286429239,0.6069076324857886,,
pmc_gauss_k2,4,0.01,7,2000,20,true_seq,0.9,0.00101010101010101,0,20,0.13030303030303025,0,True,0.13784429199949955,,,,,,,,,,
pmc_gauss_k2,4,0.01,7,2000,20,true_nonseq,0.9,0.00101010101010101,0,20,nan,0,True,0.0930167500009702,,,,,,,,,,
pmc_gauss_k2,4,0.01,7,2000,20,true_raw,0.0,0.0,0,0,0.1585858585858586,0,True,0.0,,,,,,,,,,
pmc_gauss_k2,4,0.01,7,2000,20,clean,0.0,0.0,0,0,0.12828282828282833,1,True,0.09928304200002458,-0.9483637580956072,1.0233740906827542,0.9969475278109667,1.0311541479041315,0.8946290134171302,0.882774836229871,0.6016835310912785,0.6016005509515014,,
pmc_gauss_k2,4,0.01,7,2000,20,raw,0.0,0.0,0,0,0.4121212121212121,1,True,0.7171519999992597,-0.15419346584459356,0.814299282421563,1.3748404537660281,1.7324706063490458,0.8864177001327574,0.5504919106905655,0.7126122148333649,0.8211717537826563,,
