subject,resolution,rule,classes,mechanism,statistic,observed,sim_median,sim_lo,sim_hi,p_two_sided,S
105,2Hz,ge10,K3,state,max_len,8,2,2,3,0.00995025,200
105,2Hz,ge10,K3,state,share_in_runs,0.47,0.0666667,0.018014,0.132044,0.00995025,200
105,2Hz,ge10,K3,state,dispersion,7.09158,1.38275,1.14085,1.66287,0.00995025,200
105,2Hz,ge10,K3,state-markov,M,100,98,75.975,124.025,0.905473,200
105,2Hz,ge10,K3,state-markov,n_bursts,69,69,52,84.025,1,200
105,2Hz,ge10,K3,state-markov,mean_len,1.44928,1.4345,1.24975,1.67242,0.865672,200
105,2Hz,ge10,K3,state-markov,max_len,8,5,3,8.025,0.0895522,200
105,2Hz,ge10,K3,state-markov,share_in_runs,0.47,0.51099,0.338669,0.628723,0.537313,200
105,2Hz,ge10,K3,state-markov,dispersion,7.09158,2.09367,1.6647,2.82289,0.00995025,200
105,2Hz,ge10,activity,state,M,100,99,84,117.025,0.995025,200
105,2Hz,ge10,activity,state,n_bursts,69,88,72.975,104,0.0298507,200
105,2Hz,ge10,activity,state,mean_len,1.44928,1.13115,1.05682,1.21509,0.00995025,200
105,2Hz,ge10,activity,state,max_len,8,3,2,5,0.00995025,200
105,2Hz,ge10,activity,state,share_in_runs,0.47,0.213634,0.107527,0.336351,0.00995025,200
105,2Hz,ge10,activity,state,dispersion,7.09158,2.92576,2.4753,3.50773,0.00995025,200
105,2Hz,ge10,activity,state-markov,M,100,99,73.975,128,0.975124,200
105,2Hz,ge10,activity,state-markov,n_bursts,69,69,54.975,81,1,200
105,2Hz,ge10,activity,state-markov,mean_len,1.44928,1.43749,1.24982,1.67171,0.935323,200
105,2Hz,ge10,activity,state-markov,max_len,8,5,3,8,0.109453,200
105,2Hz,ge10,activity,state-markov,share_in_runs,0.47,0.509175,0.355996,0.634358,0.547264,200
105,2Hz,ge10,activity,state-markov,dispersion,7.09158,3.40896,2.6374,4.45151,0.00995025,200
105,2Hz,any,K3,state,M,490,488.5,446.975,528.1,0.965174,200
105,2Hz,any,K3,state,n_bursts,290,438,402,474,0.00995025,200
105,2Hz,any,K3,state,mean_len,1.68966,1.11784,1.08676,1.15237,0.00995025,200
105,2Hz,any,K3,state,max_len,12,4,3,5,0.00995025,200
105,2Hz,any,K3,state,share_in_runs,0.555102,0.197345,0.151213,0.246541,0.00995025,200
105,2Hz,any,K3,state,dispersion,7.10365,1.68106,1.45853,1.8958,0.00995025,200
105,2Hz,any,K3,state-markov,M,490,483,423.925,550.025,0.905473,200
105,2Hz,any,K3,state-markov,n_bursts,290,289,257.925,316.025,0.995025,200
105,2Hz,any,K3,state-markov,mean_len,1.68966,1.68687,1.54959,1.85196,0.975124,200
105,2Hz,any,K3,state-markov,max_len,12,10,7,15,0.39801,200
105,2Hz,any,K3,state-markov,share_in_runs,0.555102,0.608603,0.547526,0.674823,0.109453,200
105,2Hz,any,K3,state-markov,dispersion,7.10365,2.64574,2.22636,3.2919,0.00995025,200
105,2Hz,any,activity,state,M,490,491,454,523.025,0.995025,200
105,2Hz,any,activity,state,n_bursts,290,359,327,384.05,0.00995025,200
105,2Hz,any,activity,state,mean_len,1.68966,1.3675,1.29877,1.45261,0.00995025,200
105,2Hz,any,activity,state,max_len,12,7,5,11,0.0199005,200
105,2Hz,any,activity,state,share_in_runs,0.555102,0.430415,0.377873,0.483734,0.00995025,200
105,2Hz,any,activity,state,dispersion,7.10365,4.80753,4.2638,5.44598,0.00995025,200
105,2Hz,any,activity,state-markov,M,490,488,448.875,533,0.955224,200
105,2Hz,any,activity,state-markov,n_bursts,290,289,265.975,317.025,0.985075,200
105,2Hz,any,activity,state-markov,mean_len,1.68966,1.69165,1.54146,1.82002,0.985075,200
105,2Hz,any,activity,state-markov,max_len,12,10,7,16.025,0.606965,200
105,2Hz,any,activity,state-markov,share_in_runs,0.555102,0.601248,0.530041,0.646609,0.218905,200
105,2Hz,any,activity,state-markov,dispersion,7.10365,5.16047,4.30667,5.92165,0.00995025,200
