task,seconds,cpu_seconds,cached,spec
controlled,25.3085,11.3403,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""any"", ""mask"": ""state-markov"", ""r"": 3, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,25.6842,11.1972,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""any"", ""mask"": ""state-markov"", ""r"": 4, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,14.6537,6.17455,True,"{""task"": ""controlled"", ""subject"": 108, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state"", ""r"": 0, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,15.0325,6.40706,True,"{""task"": ""controlled"", ""subject"": 108, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state"", ""r"": 1, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,15.0253,6.44157,True,"{""task"": ""controlled"", ""subject"": 108, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state"", ""r"": 2, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,14.4555,6.26422,True,"{""task"": ""controlled"", ""subject"": 108, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state"", ""r"": 3, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,14.6711,6.43714,True,"{""task"": ""controlled"", ""subject"": 108, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state"", ""r"": 4, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,14.8329,6.46442,True,"{""task"": ""controlled"", ""subject"": 108, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state-markov"", ""r"": 0, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,15.3697,6.68832,True,"{""task"": ""controlled"", ""subject"": 108, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state-markov"", ""r"": 1, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,13.505,5.90039,True,"{""task"": ""controlled"", ""subject"": 108, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state-markov"", ""r"": 2, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,15.2597,6.51115,True,"{""task"": ""controlled"", ""subject"": 108, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state-markov"", ""r"": 3, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,14.8733,6.37464,True,"{""task"": ""controlled"", ""subject"": 108, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state-markov"", ""r"": 4, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,16.2766,7.15628,True,"{""task"": ""controlled"", ""subject"": 108, ""K"": 2, ""intensity"": ""any"", ""mask"": ""state"", ""r"": 0, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,14.3894,6.26287,True,"{""task"": ""controlled"", ""subject"": 108, ""K"": 2, ""intensity"": ""any"", ""mask"": ""state"", ""r"": 1, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,15.3879,6.77338,True,"{""task"": ""controlled"", ""subject"": 108, ""K"": 2, ""intensity"": ""any"", ""mask"": ""state"", ""r"": 2, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,15.1452,6.72031,True,"{""task"": ""controlled"", ""subject"": 108, ""K"": 2, ""intensity"": ""any"", ""mask"": ""state"", ""r"": 3, ""oracles"": [""hmc_in""], ""quick"": false}"
