config,criterion,run,i,j,true,sel,hit
exp1_orig_p,mle,87,0,0,Gauss,GH,0
exp1_orig_p,mle,87,0,1,GH,Clayton,0
exp1_orig_p,mle,87,1,0,GH,Gauss,0
exp1_orig_p,mle,87,1,1,Clayton,Clayton,1
exp1_orig_p,mle,88,0,0,Gauss,GH,0
exp1_orig_p,mle,88,0,1,GH,Clayton,0
exp1_orig_p,mle,88,1,0,GH,Gauss,0
exp1_orig_p,mle,88,1,1,Clayton,Clayton,1
exp1_orig_p,mle,89,0,0,Gauss,GH,0
exp1_orig_p,mle,89,0,1,GH,GH,1
exp1_orig_p,mle,89,1,0,GH,Clayton,0
exp1_orig_p,mle,89,1,1,Clayton,Clayton,1
exp1_orig_p,mle,90,0,0,Gauss,GH,0
exp1_orig_p,mle,90,0,1,GH,Clayton,0
exp1_orig_p,mle,90,1,0,GH,Gauss,0
exp1_orig_p,mle,90,1,1,Clayton,Clayton,1
exp1_orig_p,mle,91,0,0,Gauss,GH,0
exp1_orig_p,mle,91,0,1,GH,Clayton,0
exp1_orig_p,mle,91,1,0,GH,Clayton,0
exp1_orig_p,mle,91,1,1,Clayton,Clayton,1
exp1_orig_p,mle,92,0,0,Gauss,GH,0
exp1_orig_p,mle,92,0,1,GH,Clayton,0
exp1_orig_p,mle,92,1,0,GH,Clayton,0
exp1_orig_p,mle,92,1,1,Clayton,Clayton,1
exp1_orig_p,mle,93,0,0,Gauss,Clayton,0
exp1_orig_p,mle,93,0,1,GH,Gauss,0
exp1_orig_p,mle,93,1,0,GH,Clayton,0
exp1_orig_p,mle,93,1,1,Clayton,Clayton,1
exp1_orig_p,mle,94,0,0,Gauss,GH,0
exp1_orig_p,mle,94,0,1,GH,Gauss,0
exp1_orig_p,mle,94,1,0,GH,Clayton,0
exp1_orig_p,mle,94,1,1,Clayton,Clayton,1
exp1_orig_p,mle,95,0,0,Gauss,GH,0
exp1_orig_p,mle,95,0,1,GH,GH,1
exp1_orig_p,mle,95,1,0,GH,GH,1
exp1_orig_p,mle,95,1,1,Clayton,Clayton,1
exp1_orig_p,mle,96,0,0,Gauss,Clayton,0
exp1_orig_p,mle,96,0,1,GH,Clayton,0
exp1_orig_p,mle,96,1,0,GH,GH,1
exp1_orig_p,mle,96,1,1,Clayton,Clayton,1
exp1_orig_p,mle,97,0,0,Gauss,GH,0
exp1_orig_p,mle,97,0,1,GH,GH,1
exp1_orig_p,mle,97,1,0,GH,Clayton,0
exp1_orig_p,mle,97,1,1,Clayton,Clayton,1
exp1_orig_p,mle,98,0,0,Gauss,GH,0
exp1_orig_p,mle,98,0,1,GH,Gauss,0
exp1_orig_p,mle,98,1,0,GH,Gauss,0
exp1_orig_p,mle,98,1,1,Clayton,Clayton,1
exp1_orig_p,mle,99,0,0,Gauss,GH,0
exp1_orig_p,mle,99,0,1,GH,Clayton,0
exp1_orig_p,mle,99,1,0,GH,Clayton,0
exp1_orig_p,mle,99,1,1,Clayton,Clayton,1
exp1_orig_p,huard,0,0,0,Gauss,GH,0
exp1_orig_p,huard,0,0,1,GH,Clayton,0
exp1_orig_p,huard,0,1,0,GH,Clayton,0
exp1_orig_p,huard,0,1,1,Clayton,Clayton,1
exp1_orig_p,huard,1,0,0,Gauss,GH,0
exp1_orig_p,huard,1,0,1,GH,Gauss,0
exp1_orig_p,huard,1,1,0,GH,GH,1
exp1_orig_p,huard,1,1,1,Clayton,Clayton,1
exp1_orig_p,huard,2,0,0,Gauss,Clayton,0
exp1_orig_p,huard,2,0,1,GH,Clayton,0
exp1_orig_p,huard,2,1,0,GH,Clayton,0
exp1_orig_p,huard,2,1,1,Clayton,Clayton,1
exp1_orig_p,huard,3,0,0,Gauss,Gauss,1
exp1_orig_p,huard,3,0,1,GH,Clayton,0
exp1_orig_p,huard,3,1,0,GH,GH,1
exp1_orig_p,huard,3,1,1,Clayton,Clayton,1
exp1_orig_p,huard,4,0,0,Gauss,GH,0
exp1_orig_p,huard,4,0,1,GH,Clayton,0
exp1_orig_p,huard,4,1,0,GH,Clayton,0
exp1_orig_p,huard,4,1,1,Clayton,Clayton,1
exp1_orig_p,huard,5,0,0,Gauss,GH,0
exp1_orig_p,huard,5,0,1,GH,Clayton,0
exp1_orig_p,huard,5,1,0,GH,Clayton,0
exp1_orig_p,huard,5,1,1,Clayton,Clayton,1
exp1_orig_p,huard,6,0,0,Gauss,Gauss,1
exp1_orig_p,huard,6,0,1,GH,Clayton,0
exp1_orig_p,huard,6,1,0,GH,GH,1
exp1_orig_p,huard,6,1,1,Clayton,Clayton,1
exp1_orig_p,huard,7,0,0,Gauss,GH,0
exp1_orig_p,huard,7,0,1,GH,Clayton,0
exp1_orig_p,huard,7,1,0,GH,GH,1
exp1_orig_p,huard,7,1,1,Clayton,Clayton,1
exp1_orig_p,huard,8,0,0,Gauss,GH,0
exp1_orig_p,huard,8,0,1,GH,Clayton,0
exp1_orig_p,huard,8,1,0,GH,Clayton,0
exp1_orig_p,huard,8,1,1,Clayton,Clayton,1
exp1_orig_p,huard,9,0,0,Gauss,GH,0
exp1_orig_p,huard,9,0,1,GH,GH,1
exp1_orig_p,huard,9,1,0,GH,GH,1
exp1_orig_p,huard,9,1,1,Clayton,Clayton,1
exp1_orig_p,huard,10,0,0,Gauss,Clayton,0
exp1_orig_p,huard,10,0,1,GH,Clayton,0
exp1_orig_p,huard,10,1,0,GH,Clayton,0
exp1_orig_p,huard,10,1,1,Clayton,Clayton,1
exp1_orig_p,huard,11,0,0,Gauss,GH,0
exp1_orig_p,huard,11,0,1,GH,Clayton,0
exp1_orig_p,huard,11,1,0,GH,GH,1
exp1_orig_p,huard,11,1,1,Clayton,Clayton,1
exp1_orig_p,huard,12,0,0,Gauss,GH,0
exp1_orig_p,huard,12,0,1,GH,Clayton,0
exp1_orig_p,huard,12,1,0,GH,Clayton,0
exp1_orig_p,huard,12,1,1,Clayton,Clayton,1
exp1_orig_p,huard,13,0,0,Gauss,GH,0
exp1_orig_p,huard,13,0,1,GH,Clayton,0
exp1_orig_p,huard,13,1,0,GH,GH,1
exp1_orig_p,huard,13,1,1,Clayton,Clayton,1
exp1_orig_p,huard,14,0,0,Gauss,GH,0
exp1_orig_p,huard,14,0,1,GH,Clayton,0
exp1_orig_p,huard,14,1,0,GH,GH,1
exp1_orig_p,huard,14,1,1,Clayton,Clayton,1
exp1_orig_p,huard,15,0,0,Gauss,Clayton,0
exp1_orig_p,huard,15,0,1,GH,GH,1
exp1_orig_p,huard,15,1,0,GH,GH,1
exp1_orig_p,huard,15,1,1,Clayton,Clayton,1
exp1_orig_p,huard,16,0,0,Gauss,GH,0
exp1_orig_p,huard,16,0,1,GH,Clayton,0
exp1_orig_p,huard,16,1,0,GH,GH,1
exp1_orig_p,huard,16,1,1,Clayton,Clayton,1
exp1_orig_p,huard,17,0,0,Gauss,GH,0
exp1_orig_p,huard,17,0,1,GH,Clayton,0
exp1_orig_p,huard,17,1,0,GH,Clayton,0
exp1_orig_p,huard,17,1,1,Clayton,Clayton,1
exp1_orig_p,huard,18,0,0,Gauss,GH,0
exp1_orig_p,huard,18,0,1,GH,Clayton,0
exp1_orig_p,huard,18,1,0,GH,GH,1
exp1_orig_p,huard,18,1,1,Clayton,Clayton,1
exp1_orig_p,huard,19,0,0,Gauss,GH,0
exp1_orig_p,huard,19,0,1,GH,Clayton,0
exp1_orig_p,huard,19,1,0,GH,Clayton,0
exp1_orig_p,huard,19,1,1,Clayton,Clayton,1
exp1_orig_p,huard,20,0,0,Gauss,GH,0
exp1_orig_p,huard,20,0,1,GH,GH,1
exp1_orig_p,huard,20,1,0,GH,Clayton,0
exp1_orig_p,huard,20,1,1,Clayton,Clayton,1
exp1_orig_p,huard,21,0,0,Gauss,Gauss,1
exp1_orig_p,huard,21,0,1,GH,Clayton,0
exp1_orig_p,huard,21,1,0,GH,Clayton,0
exp1_orig_p,huard,21,1,1,Clayton,Clayton,1
exp1_orig_p,huard,22,0,0,Gauss,Clayton,0
exp1_orig_p,huard,22,0,1,GH,Clayton,0
exp1_orig_p,huard,22,1,0,GH,Gauss,0
