"# CSDA 2013 (Derrode & Pieczynski, doi:10.1016/j.csda.2013.01.027) Tables 2-5 as printed: rows = tested (restoration) copula, columns = true (simulation) copula; mean error % and std"
table,tested,true,mean,std
5b,c3,c1,12.52,0.7
5b,c3,c2,10.93,0.6
5b,c3,c3,10.07,0.7
5b,c3,c6,14.05,0.6
5b,c3,c7,11.78,0.6
5b,c3,c8,10.74,0.7
5b,c6,c0,28.97,1.0
5b,c6,c1,14.36,0.6
5b,c6,c2,13.43,0.6
5b,c6,c3,15.15,0.6
5b,c6,c6,10.94,0.5
5b,c6,c7,13.25,0.6
5b,c6,c8,14.31,0.6
5b,c7,c0,26.51,0.9
5b,c7,c1,12.29,0.7
5b,c7,c2,10.81,0.6
5b,c7,c3,10.83,0.7
5b,c7,c6,12.98,0.6
5b,c7,c7,11.34,0.6
5b,c7,c8,10.94,0.7
5b,c8,c0,26.78,0.9
5b,c8,c1,12.30,0.7
5b,c8,c2,10.78,0.6
5b,c8,c3,10.17,0.7
5b,c8,c6,13.72,0.6
5b,c8,c7,11.54,0.6
5b,c8,c8,10.67,0.7
